"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Craterhoof Behemoth","G","M","1063","1.16","517","1.16","2301","77.8%","54.2%","351","","635","60.6%","986","57.1%","1284","51.0%","6.1pp"
"Dragon Sniper","G","U","14207","2.93","2991","3.62","17031","93.4%","56.5%","2915","58.0%","4279","60.2%","7194","59.3%","9649","54.3%","5.0pp"
"Dragonbroods' Relic","G","U","26170","5.92","7813","6.70","32612","68.6%","55.9%","5728","55.6%","8643","61.9%","14371","59.4%","17763","52.8%","6.6pp"
"Dusyut Earthcarver","G","C","69304","7.76","9572","10.68","18625","31.9%","54.5%","3067","52.7%","4763","58.0%","7830","55.9%","10627","53.2%","2.7pp"
"Encroaching Dragonstorm","G","U","19608","4.03","3360","5.06","14908","75.7%","53.3%","2542","53.5%","3819","54.3%","6361","54.0%","8400","52.6%","1.4pp"
"Formation Breaker","G","U","19830","4.04","2433","5.37","11439","78.0%","54.3%","2023","56.8%","2666","53.4%","4689","54.9%","6695","53.8%","1.0pp"
"Herd Heirloom","G","R","2437","1.32","1210","1.33","6259","87.6%","54.0%","1080","55.6%","1545","55.7%","2625","55.6%","3560","52.6%","3.1pp"
"Heritage Reclamation","G","C","70383","8.76","9978","11.93","6941","11.3%","52.1%","1119","50.1%","1744","54.1%","2863","52.5%","4040","51.6%","0.9pp"
"Inspirited Vanguard","G","U","15949","3.25","2153","4.08","10273","81.7%","53.9%","1640","53.6%","2560","56.9%","4200","55.6%","5999","52.7%","2.9pp"
"Knockout Maneuver","G","U","12840","2.66","3233","3.21","18111","93.1%","55.5%","3019","54.0%","4674","60.8%","7693","58.1%","10176","53.4%","4.8pp"
"Krotiq Nestguard","G","C","70312","8.60","8508","11.98","6650","12.7%","50.9%","1187","47.9%","1667","53.7%","2854","51.3%","3763","50.6%","0.7pp"
"Lasyd Prowler","G","R","2089","1.18","929","1.18","4875","87.8%","55.1%","767","56.7%","1272","59.4%","2039","58.4%","2787","52.6%","5.7pp"
"Nature's Rhythm","G","R","3942","1.92","305","","694","39.6%","50.7%","103","","163","","266","","421","",""
"Piercing Exhale","G","C","50829","4.25","10308","5.56","54491","88.1%","54.8%","9188","54.5%","14024","59.0%","23212","57.3%","30575","52.8%","4.4pp"
"Rainveil Rejuvenator","G","U","23560","5.07","2272","7.39","6861","51.0%","53.0%","1220","49.8%","1677","53.9%","2897","52.2%","3919","53.3%","-1.1pp"
"Rite of Renewal","G","U","28462","7.73","4539","10.60","5939","21.5%","52.7%","979","46.7%","1543","55.4%","2522","52.0%","3352","52.9%","-0.9pp"
"Roamer's Routine","G","C","68117","7.26","9049","10.11","18944","34.7%","52.3%","3387","50.6%","4693","52.8%","8080","51.9%","10833","52.6%","-0.8pp"
"Sage of the Fang","G","U","16016","3.22","2283","4.18","12141","89.4%","53.9%","2141","55.4%","2861","55.4%","5002","55.4%","7069","52.9%","2.5pp"
"Sagu Pummeler","G","C","50930","4.29","5060","6.59","26041","84.6%","55.3%","4358","53.9%","6392","58.3%","10750","56.6%","15117","54.4%","2.1pp"
"Sagu Wildling","G","C","45669","3.74","12487","4.69","71330","95.1%","54.9%","12580","53.8%","23162","59.8%","35742","57.7%","37662","52.7%","5.0pp"
"Sarkhan's Resolve","G","C","69220","7.65","12617","10.10","35068","45.5%","54.9%","5858","52.6%","9011","58.8%","14869","56.4%","19848","53.7%","2.7pp"
"Snakeskin Veil","G","C","66787","6.74","10600","9.22","36010","56.1%","54.9%","5962","55.5%","9039","57.5%","15001","56.7%","20725","53.6%","3.2pp"
"Sultai Devotee","G","C","54557","4.68","7145","6.77","36247","84.0%","55.0%","6671","55.1%","8767","56.6%","15438","56.0%","20475","54.2%","1.8pp"
"Surrak, Elusive Hunter","G","R","2207","1.23","1413","1.25","7778","91.2%","56.3%","1355","64.2%","2034","59.4%","3389","61.3%","4293","52.2%","9.1pp"
"Synchronized Charge","G","U","21701","4.52","2943","6.11","11794","66.4%","55.8%","1940","56.3%","2836","59.8%","4776","58.4%","6953","53.8%","4.5pp"
"Trade Route Envoy","G","C","54014","4.66","3809","7.35","15348","67.3%","53.8%","2565","53.2%","3770","55.4%","6335","54.5%","8953","53.2%","1.3pp"
"Traveling Botanist","G","U","13023","2.66","4432","3.12","25564","94.7%","56.7%","4724","61.5%","6192","58.1%","10916","59.6%","14393","54.5%","5.1pp"
"Undergrowth Leopard","G","C","61846","5.76","5617","8.80","19502","57.0%","54.4%","3504","56.6%","4728","55.4%","8232","55.9%","11135","53.3%","2.7pp"
"Warden of the Grove","G","R","1979","1.13","1378","1.12","7683","93.0%","56.2%","1418","65.9%","1976","59.0%","3394","61.8%","4193","51.7%","10.2pp"
"All-Out Assault","WBR","M","1044","1.19","657","1.19","3576","85.1%","57.9%","611","59.6%","840","64.2%","1451","62.2%","2115","54.9%","7.3pp"
"Armament Dragon","WBG","U","17163","3.54","3162","4.39","15180","81.6%","52.9%","2421","52.3%","3760","58.4%","6181","56.0%","8864","50.5%","5.5pp"
"Auroral Procession","UG","U","27727","6.71","4577","8.81","12061","43.8%","53.6%","2060","48.5%","3329","57.7%","5389","54.2%","6534","52.9%","1.3pp"
"Awaken the Honored Dead","UBG","R","2216","1.28","900","1.30","4521","83.7%","54.7%","762","53.3%","1221","63.1%","1983","59.4%","2481","51.2%","8.1pp"
"Barrensteppe Siege","WB","R","2052","1.17","1025","1.18","5298","88.0%","54.2%","897","51.8%","1203","56.0%","2100","54.2%","3186","54.3%","-0.0pp"
"Betor, Kin to All","WBG","M","998","1.13","707","1.14","3726","85.3%","56.5%","652","60.7%","1004","64.5%","1656","63.0%","2039","51.3%","11.7pp"
"Bone-Cairn Butcher","WBR","U","17349","3.56","2731","4.41","13365","80.2%","56.1%","2247","55.9%","2966","56.0%","5213","56.0%","8172","56.3%","-0.3pp"
"Call the Spirit Dragons","WUBRG","M","1862","1.84","388","","1103","52.1%","50.4%","177","","302","","479","","618","50.3%",""
"Cori Mountain Stalwart","WR","U","17341","3.34","4372","3.97","24679","91.7%","57.8%","4256","59.0%","5552","57.7%","9808","58.3%","14803","57.4%","0.9pp"
"Death Begets Life","UBG","M","1067","1.19","592","1.16","2942","81.8%","56.1%","510","53.3%","786","65.1%","1296","60.5%","1593","52.0%","8.5pp"
"Defibrillating Current","WBR","U","20702","4.41","3459","6.14","14726","70.3%","56.1%","2414","54.3%","3414","57.4%","5828","56.2%","8889","56.1%","0.1pp"
"Disruptive Stormbrood","G","U","10082","2.15","3971","2.45","22261","93.8%","55.6%","3844","55.9%","6978","62.3%","10822","60.0%","12078","52.4%","7.7pp"
"Dragonback Assault","URG","M","992","1.13","783","1.12","4655","94.0%","58.3%","843","66.8%","1284","68.9%","2127","68.1%","2450","49.5%","18.6pp"
"Dragonclaw Strike","URG","U","24245","5.53","4974","7.29","18748","62.8%","54.6%","3039","51.5%","4998","58.3%","8037","55.7%","10442","53.4%","2.4pp"
"Effortless Master","UR","U","20226","3.92","1260","5.54","4925","66.8%","52.1%","841","49.6%","1298","55.3%","2139","53.1%","2743","51.3%","1.8pp"
"Eshki Dragonclaw","URG","R","2126","1.20","1246","1.20","6608","89.1%","55.0%","1106","57.6%","1778","61.1%","2884","59.8%","3606","50.9%","8.9pp"
"Fangkeeper's Familiar","UBG","R","1994","1.16","919","1.15","4789","85.9%","56.7%","811","62.5%","1334","62.4%","2145","62.4%","2560","51.5%","10.9pp"
"Felothar, Dawn of the Abzan","WBG","R","2153","1.18","530","1.18","2039","66.9%","50.6%","351","","487","","838","53.8%","1197","48.4%","5.4pp"
"Flamehold Grappler","WUR","R","2132","1.18","553","1.19","2351","71.3%","54.4%","390","","570","58.6%","960","56.5%","1371","53.1%","3.4pp"
"Frontline Rush","WR","U","15010","2.97","3678","3.47","21242","91.5%","58.9%","3710","59.9%","4721","60.3%","8431","60.1%","12828","58.1%","2.0pp"
"Frostcliff Siege","UR","R","2087","1.18","796","1.19","3797","80.5%","52.2%","635","53.5%","984","54.0%","1619","53.8%","2137","51.0%","2.8pp"
"Glacial Dragonhunt","UR","U","15575","3.06","3654","3.63","19279","88.1%","56.2%","3270","57.3%","5350","59.9%","8620","58.9%","10505","53.7%","5.2pp"
"Glacierwood Siege","UG","R","2236","1.24","299","","812","48.0%","47.8%","150","","206","","356","","436","",""
"Gurmag Nightwatch","UBG","C","68586","7.92","7818","11.31","10596","21.9%","55.2%","1833","56.6%","2722","56.4%","4555","56.5%","5903","54.1%","2.4pp"
"Hardened Tactician","WB","U","19507","3.82","2256","4.95","10256","76.4%","54.4%","1779","54.1%","2219","51.6%","3998","52.7%","6256","55.5%","-2.8pp"
"Hollowmurk Siege","BG","R","2209","1.23","875","1.26","4120","79.7%","53.5%","703","51.1%","963","56.2%","1666","54.0%","2411","53.0%","1.1pp"
"Host of the Hereafter","BG","U","17497","3.42","2046","4.22","10507","87.5%","53.7%","1715","53.5%","2513","55.4%","4228","54.7%","6237","53.1%","1.6pp"
"Inevitable Defeat","WBR","R","2131","1.20","958","1.23","4896","83.4%","57.9%","804","59.8%","1151","64.2%","1955","62.4%","2925","54.5%","7.9pp"
"Jeskai Brushmaster","WUR","U","23870","5.50","2241","8.37","4916","36.7%","50.8%","851","51.0%","1299","52.2%","2150","51.7%","2744","49.9%","1.8pp"
"Jeskai Revelation","WUR","M","1042","1.15","774","1.16","4378","89.2%","58.8%","725","62.1%","1290","71.6%","2015","68.2%","2354","51.1%","17.0pp"
"Jeskai Shrinekeeper","WUR","U","17728","3.65","5428","4.33","28280","85.6%","56.0%","4770","55.8%","7754","60.7%","12524","58.8%","15220","53.3%","5.5pp"
"Karakyk Guardian","URG","U","17574","3.57","7216","3.93","40454","91.3%","56.3%","6795","56.3%","11151","63.4%","17946","60.7%","21702","52.3%","8.4pp"
"Kheru Goldkeeper","UBG","U","21008","4.42","3964","5.72","18307","78.5%","53.5%","3060","51.2%","4648","56.6%","7708","54.5%","10376","52.5%","2.0pp"
"Kin-Tree Severance","WBG","U","17155","3.55","2659","4.77","13076","81.8%","54.7%","2157","52.6%","3277","59.0%","5434","56.4%","7538","53.4%","3.0pp"
"Kishla Skimmer","UG","U","13567","2.72","2813","3.25","14695","88.0%","54.6%","2513","56.3%","3835","57.2%","6348","56.9%","8128","52.7%","4.1pp"
"Kotis, the Fangkeeper","UBG","R","2053","1.15","460","","1926","71.3%","53.2%","334","","475","","809","54.8%","1086","51.3%","3.5pp"
"Lie in Wait","UBG","U","20883","4.39","4237","5.50","18982","75.8%","54.6%","3223","52.3%","5191","59.5%","8414","56.7%","10182","52.6%","4.1pp"
"Lotuslight Dancers","UBG","R","2986","1.54","726","1.62","3010","68.5%","55.3%","540","54.8%","800","60.6%","1340","58.3%","1628","52.8%","5.5pp"
"Mammoth Bellow","URG","U","17937","3.62","3574","4.46","17737","83.4%","54.1%","2859","51.7%","4813","57.6%","7672","55.4%","9848","52.7%","2.6pp"
"Mardu Siegebreaker","WBR","R","2020","1.15","966","1.15","4878","84.4%","56.2%","835","53.2%","1078","58.4%","1913","56.1%","2955","56.2%","-0.1pp"
"Marshal of the Lost","WB","U","15330","2.98","2179","3.70","11222","85.3%","54.9%","1840","54.3%","2473","53.8%","4313","54.0%","6918","55.4%","-1.4pp"
"Monastery Messenger","WUR","C","66855","7.48","9763","10.53","20037","33.8%","53.6%","3408","50.8%","5182","55.4%","8590","53.6%","11312","53.6%","-0.0pp"
"Narset, Jeskai Waymaster","WUR","R","2952","1.60","676","1.72","2633","66.6%","53.6%","426","","691","55.3%","1117","54.9%","1483","52.1%","2.8pp"
"Neriv, Heart of the Storm","WBR","M","1158","1.27","598","1.25","2911","81.8%","54.5%","471","","640","58.1%","1111","56.4%","1797","53.5%","3.0pp"
"New Way Forward","WUR","R","2466","1.37","666","1.38","2695","71.3%","52.9%","426","","759","57.3%","1185","55.1%","1514","51.5%","3.7pp"
"Perennation","WBG","M","1024","1.16","342","","1374","70.7%","50.1%","230","","355","","585","52.5%","788","48.6%","3.9pp"
"Purging Stormbrood","B","U","13510","2.81","3818","3.36","20705","90.0%","56.1%","3413","56.0%","5600","61.6%","9013","59.5%","12115","54.0%","5.5pp"
"Rakshasa's Bargain","UBG","U","23910","5.32","5810","6.59","25918","73.7%","56.0%","4304","55.9%","6818","59.8%","11122","58.3%","14462","54.1%","4.2pp"
"Rediscover the Way","WUR","R","2217","1.26","648","1.26","2953","75.6%","55.2%","473","","836","59.2%","1309","58.2%","1654","52.9%","5.3pp"
"Reigning Victor","WBR","C","64968","6.72","9188","9.18","34074","59.2%","58.3%","5737","57.4%","7260","58.4%","12997","57.9%","21082","58.5%","-0.6pp"
"Reputable Merchant","WBG","C","68063","7.28","5356","11.06","8515","26.3%","52.6%","1450","51.9%","1927","52.5%","3377","52.2%","5125","52.9%","-0.6pp"
"Revival of the Ancestors","WBG","R","2024","1.11","877","1.10","4322","82.1%","56.5%","708","61.0%","1059","65.2%","1767","63.5%","2518","51.6%","11.9pp"
"Riverwheel Sweep","WUR","U","26140","6.49","7116","8.24","24332","55.9%","56.9%","3980","53.6%","6767","59.8%","10747","57.6%","13570","56.1%","1.4pp"
"Roar of Endless Song","URG","R","2064","1.16","1345","1.16","7641","90.7%","58.0%","1348","64.3%","2150","65.4%","3498","65.0%","4028","51.5%","13.4pp"
"Runescale Stormbrood","R","U","17528","3.54","3993","4.44","20609","87.4%","53.9%","3564","53.6%","6070","57.2%","9634","55.9%","11207","52.3%","3.6pp"
"Severance Priest","WBG","R","2524","1.35","318","","971","52.7%","56.0%","186","","230","","416","","553","55.3%",""
"Shiko, Paragon of the Way","WUR","M","991","1.11","748","1.09","3900","86.8%","55.5%","668","58.8%","980","64.0%","1648","61.9%","2189","50.3%","11.6pp"
"Skirmish Rhino","WBG","U","13865","2.90","1024","3.81","5073","81.8%","55.0%","850","54.1%","1235","57.7%","2085","56.3%","2965","54.0%","2.3pp"
"Songcrafter Mage","URG","R","2955","1.60","736","1.67","3227","74.0%","54.5%","521","49.5%","891","59.1%","1412","55.6%","1784","53.0%","2.6pp"
"Sonic Shrieker","WBR","U","14230","2.93","5808","3.27","32119","88.7%","58.5%","5291","59.6%","7713","64.7%","13004","62.6%","18866","55.4%","7.2pp"
"Stalwart Successor","BG","U","17515","3.41","2068","4.16","10423","86.7%","52.1%","1765","52.4%","2332","53.2%","4097","52.8%","6259","51.6%","1.3pp"
"Temur Battlecrier","URG","R","2515","1.40","853","1.40","4184","80.7%","55.6%","683","59.4%","1181","58.7%","1864","59.0%","2266","52.9%","6.1pp"
"Temur Tawnyback","URG","C","63003","6.23","10966","8.34","45786","68.6%","55.4%","7718","55.9%","12339","58.2%","20057","57.3%","25221","53.9%","3.4pp"
"Teval, Arbiter of Virtue","UBG","M","880","1.05","564","1.04","3142","89.2%","55.8%","577","57.9%","861","63.2%","1438","61.1%","1631","50.6%","10.5pp"
"Thunder of Unity","WBR","R","2462","1.36","633","1.33","2821","74.1%","55.8%","449","","607","54.9%","1056","54.5%","1765","56.4%","-2.0pp"
"Twinmaw Stormbrood","W","U","9050","1.95","5265","2.15","31158","96.9%","57.4%","5417","57.9%","9053","61.9%","14470","60.4%","17596","55.3%","5.1pp"
"Ureni, the Song Unending","URG","M","894","1.06","688","1.06","3918","89.8%","59.6%","640","63.7%","1148","72.8%","1788","69.6%","2046","50.5%","19.1pp"
"Whirlwing Stormbrood","U","U","13863","2.84","3217","3.54","17532","92.8%","53.7%","2913","52.4%","5087","58.0%","8000","55.9%","9611","51.8%","4.1pp"
"Windcrag Siege","WR","R","3580","1.76","1993","1.79","10979","89.6%","58.1%","1841","63.9%","2518","56.7%","4359","59.8%","6596","57.1%","2.7pp"
"Yathan Roadwatcher","WBG","R","2256","1.25","431","","1583","62.2%","52.1%","275","","378","","653","56.5%","927","49.1%","7.4pp"
"Zurgo, Thunder's Decree","WBR","R","2084","1.21","924","1.20","4746","83.5%","57.6%","815","59.5%","1035","56.6%","1850","57.9%","2894","57.4%","0.5pp"
"Abzan Monument","","U","18027","3.58","1188","5.10","4865","71.6%","51.3%","950","49.5%","1122","54.8%","2072","52.4%","2771","50.4%","2.0pp"
"Boulderborn Dragon","","C","70757","8.08","13308","10.14","37945","47.2%","53.8%","6413","49.4%","9427","56.4%","15840","53.6%","20534","53.0%","0.5pp"
"Dragonfire Blade","","R","2070","1.14","703","1.16","3341","80.5%","53.8%","595","52.4%","838","57.3%","1433","55.3%","1881","52.8%","2.5pp"
"Dragonstorm Globe","","C","68622","6.25","23946","6.90","113494","78.8%","54.9%","20843","56.9%","27372","56.3%","48215","56.6%","61320","53.2%","3.4pp"
"Embermouth Sentinel","","C","70290","7.58","10510","10.05","28719","44.6%","54.7%","5523","54.3%","6869","55.3%","12392","54.9%","16191","54.6%","0.3pp"
"Jade-Cast Sentinel","","C","70602","8.68","5247","12.45","2065","6.4%","51.4%","373","","558","53.6%","931","50.8%","1123","51.8%","-1.0pp"
"Jeskai Monument","","U","20105","4.02","2971","5.35","13278","72.8%","56.2%","2492","57.5%","3403","58.3%","5895","57.9%","7297","54.7%","3.2pp"
"Mardu Monument","","U","18049","3.59","3200","4.56","16149","80.5%","59.1%","3096","60.1%","3458","61.1%","6554","60.6%","9569","58.1%","2.5pp"
"Mox Jasper","","M","1957","1.99","226","","144","11.0%","","35","","30","","65","","79","",""
"Sultai Monument","","U","20286","4.02","2542","5.45","11529","75.5%","55.4%","2150","55.2%","2979","57.4%","5129","56.5%","6303","54.4%","2.1pp"
"Temur Monument","","U","18062","3.64","2797","4.74","14481","85.0%","55.8%","2745","56.8%","3749","58.1%","6494","57.5%","7831","54.5%","3.1pp"
"Watcher of the Wayside","","C","70570","8.53","5487","12.15","2118","6.2%","53.5%","384","","538","55.6%","922","54.2%","1182","53.0%","1.3pp"
"Bloodfell Caves","","C","50370","4.78","7029","6.86","35864","83.4%","56.4%","6590","57.8%","7794","54.3%","14384","55.9%","21313","56.7%","-0.8pp"
"Blossoming Sands","","C","50812","4.79","5048","7.01","24679","81.5%","54.7%","4447","55.0%","5978","54.7%","10425","54.8%","14096","54.6%","0.2pp"
"Cori Mountain Monastery","","R","2708","1.47","538","1.55","3055","93.1%","57.6%","539","56.2%","771","60.2%","1310","58.5%","1720","56.4%","2.2pp"
"Dalkovan Encampment","","R","2654","1.43","493","","2526","86.2%","55.2%","394","","559","54.7%","953","55.6%","1566","55.0%","0.6pp"
"Dismal Backwater","","C","50412","4.83","5673","6.98","28752","84.8%","54.9%","5283","55.3%","7002","56.1%","12285","55.8%","16162","54.2%","1.5pp"
"Evolving Wilds","","C","50971","4.11","8575","5.81","51055","97.5%","56.5%","9529","57.0%","11888","55.7%","21417","56.3%","29301","56.6%","-0.3pp"
"Frontier Bivouac","","U","14520","3.00","3077","3.84","17359","94.3%","54.8%","3182","57.9%","4332","53.8%","7514","55.5%","9676","54.1%","1.4pp"
"Great Arashin City","","R","2384","1.33","291","","1413","80.6%","55.6%","237","","326","","563","56.7%","843","54.9%","1.7pp"
"Jungle Hollow","","C","47394","4.44","5981","6.27","32313","90.4%","54.7%","6003","56.1%","7670","54.6%","13673","55.3%","18359","54.1%","1.2pp"
"Kishla Village","","R","2406","1.33","224","","925","71.3%","53.2%","144","","233","","377","","531","54.4%",""
"Maelstrom of the Spirit Dragon","","R","2226","1.21","304","","1199","69.2%","53.4%","217","","300","","517","56.1%","671","50.7%","5.4pp"
"Mistrise Village","","R","4021","2.03","260","","553","36.5%","49.7%","113","","139","","252","","297","",""
"Mystic Monastery","","U","13009","2.71","2171","3.62","12394","94.2%","55.9%","2331","56.9%","2998","53.8%","5329","55.2%","6956","56.4%","-1.2pp"
"Nomad Outpost","","U","12825","2.71","2281","3.63","13032","93.7%","56.0%","2406","58.0%","2835","53.3%","5241","55.5%","7751","56.3%","-0.8pp"
"Opulent Palace","","U","12913","2.70","2096","3.49","11729","94.4%","54.9%","2189","58.3%","2936","55.6%","5125","56.8%","6490","53.2%","3.6pp"
"Rugged Highlands","","C","50867","4.80","6966","6.61","36873","87.8%","55.5%","6756","57.6%","9247","55.1%","16003","56.2%","20462","54.9%","1.3pp"
"Sandsteppe Citadel","","U","12824","2.66","1688","3.65","9185","93.2%","53.7%","1701","56.2%","2122","53.3%","3823","54.6%","5314","52.9%","1.7pp"
"Scoured Barrens","","C","46784","4.36","6438","6.34","34073","87.6%","55.9%","6188","58.4%","7372","53.7%","13560","55.8%","20403","55.8%","0.0pp"
"Swiftwater Cliffs","","C","47017","4.44","7298","6.28","39829","90.7%","55.3%","7393","56.1%","10143","56.1%","17536","56.1%","21899","54.5%","1.6pp"
"Thornwood Falls","","C","47316","4.47","7508","6.21","42357","93.4%","55.7%","7885","56.6%","10511","56.6%","18396","56.6%","23479","54.8%","1.8pp"
"Tranquil Cove","","C","50674","4.81","6011","7.00","29589","81.8%","54.8%","5410","56.8%","7556","55.9%","12966","56.3%","16370","53.4%","2.9pp"
"Wind-Scarred Crag","","C","46770","4.38","7923","6.19","45147","92.9%","57.0%","8365","58.4%","10031","55.0%","18396","56.5%","26612","57.3%","-0.8pp"
"Eerie Ultimatum","WBG","R","269","","27","","100","","","15","","31","","46","","54","",""
"Emergent Ultimatum","UBG","R","239","","19","","43","","","8","","8","","16","","27","",""
"Genesis Ultimatum","URG","R","267","","52","","254","","","47","","64","","111","","132","",""
"Inspired Ultimatum","WUR","R","230","","63","","272","","","44","","65","","109","","164","",""
"Ruinous Ultimatum","WBR","R","261","","65","","220","","","41","","43","","84","","135","",""
"Arid Mesa","","R","230","","41","","192","","","46","","47","","93","","99","",""
"Marsh Flats","","R","237","","28","","131","","","20","","25","","45","","85","",""
"Misty Rainforest","","R","240","","42","","190","","","40","","44","","84","","101","",""
"Scalding Tarn","","R","242","","38","","186","","","42","","33","","75","","109","",""
"Verdant Catacombs","","R","255","","38","","164","","","30","","43","","73","","90","",""