Name,Rarity,Color Identity,Mana Cost,Type Line,Card Text
Absolute Virtue,Mythic,UW,{6}{W}{U},Legendary Creature — Avatar Warrior,"This spell can't be countered. Flying You have protection from each of your opponents. (You can't be dealt damage, enchanted, or targeted by anything controlled by your opponents.)"
Adelbert Steiner,Uncommon,W,{1}{W},Legendary Creature — Human Knight,Lifelink Adelbert Steiner gets +1/+1 for each Equipment you control.
Adventurer's Airship,Common,Colorless,{3},Artifact — Vehicle,"Flying Whenever this Vehicle attacks, draw a card, then discard a card. Crew 2 (Tap any number of creatures you control with total power 2 or more: This Vehicle becomes an artifact creature until end of turn.)"
Adventurer's Inn,Common,Colorless,,Land — Town,"When this land enters, you gain 2 life. {T}: Add {C}."
Aerith Gainsborough,Rare,W,{2}{W},Legendary Creature — Human Cleric,"Lifelink Whenever you gain life, put a +1/+1 counter on Aerith Gainsborough. When Aerith Gainsborough dies, put X +1/+1 counters on each legendary creature you control, where X is the number of +1/+1 counters on Aerith Gainsborough."
Aerith Rescue Mission,Common,W,{3}{W},Sorcery,"Choose one — • Take the Elevator — Create three 1/1 colorless Hero creature tokens. • Take 59 Flights of Stairs — Tap up to three target creatures. Put a stun counter on one of them. (If a permanent with a stun counter would become untapped, remove one from it instead.)"
Aettir and Priwen,Mythic,Colorless,{6},Legendary Artifact — Equipment,"Equipped creature has base power and toughness X/X, where X is your life total. Equip {5}"
Ahriman,Common,B,{2}{B},Creature — Eye Horror,"Flying, deathtouch {3}, Sacrifice another creature or artifact: Draw a card."
Airship Crash,Common,G,{2}{G},Instant,"Destroy target artifact, enchantment, or creature with flying. Cycling {2} ({2}, Discard this card: Draw a card.)"
Al Bhed Salvagers,Uncommon,B,{2}{B},Creature — Human Artificer Warrior,"Whenever this creature or another creature or artifact you control dies, target opponent loses 1 life and you gain 1 life."
Ambrosia Whiteheart,Uncommon,W,{1}{W},Legendary Creature — Bird,"Flash When Ambrosia Whiteheart enters, you may return another permanent you control to its owner's hand. Landfall — Whenever a land you control enters, Ambrosia Whiteheart gets +1/+0 until end of turn."
Ancient Adamantoise,Mythic,G,{5}{G}{G}{G},Creature — Turtle,"Vigilance, ward {3} Damage isn't removed from this creature during cleanup steps. All damage that would be dealt to you and other permanents you control is dealt to this creature instead. When this creature dies, exile it and create ten tapped Treasure tokens."
"Ardyn, the Usurper",Rare,B,{5}{B}{B}{B},Legendary Creature — Elder Human Noble,"Demons you control have menace, lifelink, and haste. Starscourge — At the beginning of combat on your turn, exile up to one target creature card from a graveyard. If you exiled a card this way, create a token that's a copy of that card, except it's a 5/5 black Demon."
A Realm Reborn,Rare,G,{4}{G}{G},Enchantment,"Other permanents you control have ""{T}: Add one mana of any color."""
"Ashe, Princess of Dalmasca",Uncommon,W,{2}{W},Legendary Creature — Human Rebel Noble,"Whenever Ashe attacks, look at the top five cards of your library. You may reveal an artifact card from among them and put it into your hand. Put the rest on the bottom of your library in a random order."
Astrologian's Planisphere,Rare,U,{1}{U},Artifact — Equipment,"Job select (When this Equipment enters, create a 1/1 colorless Hero creature token, then attach this to it.) Equipped creature is a Wizard in addition to its other types and has ""Whenever you cast a noncreature spell and whenever you draw your third card each turn, put a +1/+1 counter on this creature."" Diana — Equip {2}"
Auron's Inspiration,Uncommon,W,{2}{W},Instant,Attacking creatures get +2/+0 until end of turn. Flashback {2}{W}{W} (You may cast this card from your graveyard for its flashback cost. Then exile it.)
A-Vivi Ornitier,Mythic,RU,{1}{U}{R},Legendary Creature — Wizard,"{T}: Add X mana in any combination of {U} and/or {R}, where X is Vivi Ornitier's power. Whenever you cast a noncreature spell, put a +1/+1 counter on Vivi Ornitier and it deals 1 damage to each opponent."
"Balamb Garden, SeeD Academy // Balamb Garden, Airborne",Rare,GU, // ,Land — Town // Legendary Artifact — Vehicle,"This land enters tapped. {T}: Add {G} or {U}. {5}{G}{U}, {T}: Transform this land. This ability costs {1} less to activate for each other Town you control. // Flying Whenever Balamb Garden attacks, draw a card. Crew 1 (Tap any number of creatures you control with total power 1 or more: This Vehicle becomes an artifact creature until end of turn.)"
Balamb T-Rexaur,Common,G,{4}{G}{G},Creature — Dinosaur,"Trample When this creature enters, you gain 3 life. Forestcycling {2} ({2}, Discard this card: Search your library for a Forest card, reveal it, put it into your hand, then shuffle.)"
Balthier and Fran,Rare,GR,{1}{R}{G},Legendary Creature — Human Rabbit,"Reach Vehicles you control get +1/+1 and have vigilance and reach. Whenever a Vehicle crewed by Balthier and Fran this turn attacks, if it's the first combat phase of the turn, you may pay {1}{R}{G}. If you do, after this phase, there is an additional combat phase."
Bard's Bow,Common,G,{2}{G},Artifact — Equipment,"Job select (When this Equipment enters, create a 1/1 colorless Hero creature token, then attach this to it.) Equipped creature gets +2/+2, has reach, and is a Bard in addition to its other types. Perseus's Bow — Equip {6} ({6}: Attach to target creature you control. Equip only as a sorcery.)"
"Baron, Airship Kingdom",Common,RU,,Land — Town,This land enters tapped. {T}: Add {U} or {R}.
Barret Wallace,Uncommon,R,{3}{R},Legendary Creature — Human Rebel,"Reach Whenever Barret Wallace attacks, it deals damage equal to the number of equipped creatures you control to defending player."
Bartz and Boko,Rare,G,{3}{G}{G},Legendary Creature — Human Bird,"Affinity for Birds (This spell costs {1} less to cast for each Bird you control.) When Bartz and Boko enters, each other Bird you control deals damage equal to its power to target creature an opponent controls."
Battle Menu,Uncommon,W,{1}{W},Instant,Choose one — • Attack — Create a 2/2 white Knight creature token. • Ability — Target creature gets +0/+4 until end of turn. • Magic — Destroy target creature with power 4 or greater. • Item — You gain 4 life.
"Beatrix, Loyal General",Rare,W,{4}{W}{W},Legendary Creature — Human Soldier,"Vigilance (Attacking doesn't cause this creature to tap.) At the beginning of combat on your turn, you may attach any number of Equipment you control to target creature you control."
Black Mage's Rod,Common,B,{1}{B},Artifact — Equipment,"Job select (When this Equipment enters, create a 1/1 colorless Hero creature token, then attach this to it.) Equipped creature gets +1/+0, has ""Whenever you cast a noncreature spell, this creature deals 1 damage to each opponent,"" and is a Wizard in addition to its other types. Equip {3}"
Black Waltz No. 3,Uncommon,BR,{2}{B}{R},Legendary Creature — Wizard,"Flying, deathtouch Whenever you cast a noncreature spell, Black Waltz No. 3 deals 2 damage to each opponent."
Blazing Bomb,Common,R,{R},Creature — Elemental,"Whenever you cast a noncreature spell, if at least four mana was spent to cast it, put a +1/+1 counter on this creature. Blow Up — {T}, Sacrifice this creature: It deals damage equal to its power to target creature. Activate only as a sorcery."
Blitzball,Common,Colorless,{3},Artifact,"{T}: Add one mana of any color. GOOOOAAAALLL! — {T}, Sacrifice this artifact: Draw two cards. Activate only if an opponent was dealt combat damage by a legendary creature this turn."
Blitzball Shot,Common,G,{1}{G},Instant,Target creature gets +3/+3 and gains trample until end of turn.
Buster Sword,Mythic,Colorless,{3},Artifact — Equipment,"Equipped creature gets +3/+2. Whenever equipped creature deals combat damage to a player, draw a card, then you may cast a spell from your hand with mana value less than or equal to that damage without paying its mana cost. Equip {2}"
Cactuar,Uncommon,G,{G},Creature — Plant,"Trample At the beginning of your end step, if this creature didn't enter the battlefield this turn, return it to its owner's hand."
Call the Mountain Chocobo,Common,R,{3}{R},Sorcery,"Search your library for a Mountain card, reveal it, put it into your hand, then shuffle. Create a 2/2 green Bird creature token with ""Whenever a land you control enters, this token gets +1/+0 until end of turn."" Flashback {5}{R} (You may cast this card from your graveyard for its flashback cost. Then exile it.)"
Capital City,Uncommon,Colorless,,Land — Town,"{T}: Add {C}. {1}, {T}: Add one mana of any color. Cycling {2} ({2}, Discard this card: Draw a card.)"
Cargo Ship,Uncommon,U,{1}{U},Artifact — Vehicle,"Flying, vigilance {T}: Add {C}. Spend this mana only to cast an artifact spell or activate an ability of an artifact source. Crew 1 (Tap any number of creatures you control with total power 1 or more: This Vehicle becomes an artifact creature until end of turn.)"
"Cecil, Dark Knight // Cecil, Redeemed Paladin",Rare,BW,{B} // ,Legendary Creature — Human Knight // Legendary Creature — Human Knight,"Deathtouch Darkness — Whenever Cecil deals damage, you lose that much life. Then if your life total is less than or equal to half your starting life total, untap Cecil and transform it. // Lifelink Protect — Whenever Cecil attacks, other attacking creatures gain indestructible until end of turn."
Chocobo Kick,Common,G,{1}{G},Sorcery,"Kicker—Return a land you control to its owner's hand. (You may return a land you control to its owner's hand in addition to any other costs as you cast this spell.) Target creature you control deals damage equal to its power to target creature an opponent controls. If this spell was kicked, the creature you control deals twice that much damage instead."
Chocobo Racetrack,Uncommon,G,{3}{G}{G},Artifact,"Landfall — Whenever a land you control enters, create a 2/2 green Bird creature token with ""Whenever a land you control enters, this token gets +1/+0 until end of turn."""
Choco-Comet,Uncommon,R,{X}{R}{R},Sorcery,"Choco-Comet deals X damage to any target. Create a 2/2 green Bird creature token with ""Whenever a land you control enters, this token gets +1/+0 until end of turn."""
"Choco, Seeker of Paradise",Rare,GUW,{1}{G}{W}{U},Legendary Creature — Bird,"Whenever one or more Birds you control attack, look at that many cards from the top of your library. You may put one of them into your hand. Then put any number of land cards from among them onto the battlefield tapped and the rest into your graveyard. Landfall — Whenever a land you control enters, Choco gets +1/+0 until end of turn."
"Cid, Timeless Artificer",Uncommon,UW,{2}{W}{U},Legendary Creature — Human Artificer,"Artifact creatures and Heroes you control get +1/+1 for each Artificer you control and each Artificer card in your graveyard. A deck can have any number of cards named Cid, Timeless Artificer. Cycling {W}{U} ({W}{U}, Discard this card: Draw a card.)"
Circle of Power,Uncommon,B,{3}{B},Sorcery,"You draw two cards and you lose 2 life. Create a 0/1 black Wizard creature token with ""Whenever you cast a noncreature spell, this token deals 1 damage to each opponent."" Wizards you control get +1/+0 and gain lifelink until end of turn."
Clash of the Eikons,Uncommon,G,{G},Sorcery,Choose one or more — • Target creature you control fights target creature an opponent controls. • Remove a lore counter from target Saga you control. (Removing lore counters doesn't cause chapter abilities to trigger.) • Put a lore counter on target Saga you control.
"Clive, Ifrit's Dominant // Ifrit, Warden of Inferno",Mythic,R,{4}{R}{R} // ,Legendary Creature — Human Noble Warrior // Legendary Enchantment Creature — Saga Demon,"When Clive enters, you may discard your hand, then draw cards equal to your devotion to red. (Each {R} in the mana costs of permanents you control counts toward your devotion to red.) {4}{R}{R}, {T}: Exile Clive, then return it to the battlefield transformed under its owner's control. Activate only as a sorcery. // (As this Saga enters and after your draw step, add a lore counter.) I — Lunge — Ifrit fights up to one other target creature. II, III — Brimstone — Add {R}{R}{R}{R}. If Ifrit has three or more lore counters on it, exile it, then return it to the battlefield (front face up)."
Clive's Hideaway,Rare,Colorless,,Land — Town,"Hideaway 4 (When this land enters, look at the top four cards of your library, exile one face down, then put the rest on the bottom in a random order.) {T}: Add {C}. {2}, {T}: You may play the exiled card without paying its mana cost if you control four or more legendary creatures."
Cloudbound Moogle,Common,W,{3}{W}{W},Creature — Moogle,"Flying When this creature enters, put a +1/+1 counter on target creature. Plainscycling {2} ({2}, Discard this card: Search your library for a Plains card, reveal it, put it into your hand, then shuffle.)"
"Cloud, Midgar Mercenary",Mythic,W,{W}{W},Legendary Creature — Human Soldier Mercenary,"When Cloud enters, search your library for an Equipment card, reveal it, put it into your hand, then shuffle. As long as Cloud is equipped, if an ability of Cloud or an Equipment attached to it triggers, that ability triggers an additional time."
Cloud of Darkness,Uncommon,BG,{2}{B}{G}{G},Legendary Creature — Avatar,"Flying Particle Beam — When Cloud of Darkness enters, target creature an opponent controls gets -X/-X until end of turn, where X is the number of permanent cards in your graveyard."
"Cloud, Planet's Champion",Mythic,RW,{3}{R}{W},Legendary Creature — Human Soldier Mercenary,"During your turn, as long as Cloud is equipped, it has double strike and indestructible. (This creature deals both first-strike and regular combat damage. Damage and effects that say ""destroy"" don't destroy this creature.) Equip abilities you activate that target Cloud cost {2} less to activate."
Coeurl,Common,W,{1}{W},Creature — Cat Beast,"{1}{W}, {T}: Tap target nonenchantment creature."
Coliseum Behemoth,Uncommon,G,{5}{G}{G},Creature — Beast,"Trample When this creature enters, choose one — • Destroy target artifact or enchantment. • Draw a card."
Combat Tutorial,Common,U,{2}{U},Sorcery,Target player draws two cards. Put a +1/+1 counter on up to one target creature you control.
Commune with Beavers,Common,G,{G},Sorcery,"Look at the top three cards of your library. You may reveal an artifact, creature, or land card from among them and put it into your hand. Put the rest on the bottom of your library in any order."
Coral Sword,Uncommon,R,{R},Artifact — Equipment,"Flash When this Equipment enters, attach it to target creature you control. That creature gains first strike until end of turn. Equipped creature gets +1/+0. Equip {1}"
Cornered by Black Mages,Common,B,{1}{B}{B},Sorcery,"Target opponent sacrifices a creature of their choice. Create a 0/1 black Wizard creature token with ""Whenever you cast a noncreature spell, this token deals 1 damage to each opponent."""
Crossroads Village,Common,Colorless,,Land — Town,"This land enters tapped. As it enters, choose a color. {T}: Add one mana of the chosen color."
Crystal Fragments // Summon: Alexander,Uncommon,W,{W} // ,Artifact — Equipment // Enchantment Creature — Saga Construct,"Equipped creature gets +1/+1. {5}{W}{W}: Exile this Equipment, then return it to the battlefield transformed under its owner's control. Activate only as a sorcery. Equip {1} // (As this Saga enters and after your draw step, add a lore counter. Sacrifice after III.) I, II — Prevent all damage that would be dealt to creatures you control this turn. III — Tap all creatures your opponents control. Flying"
Dark Confidant,Mythic,B,{1}{B},Creature — Human Wizard,"At the beginning of your upkeep, reveal the top card of your library and put that card into your hand. You lose life equal to its mana value."
Dark Knight's Greatsword,Uncommon,B,{2}{B},Artifact — Equipment,"Job select (When this Equipment enters, create a 1/1 colorless Hero creature token, then attach this to it.) Equipped creature gets +3/+0 and is a Knight in addition to its other types. Chaosbringer — Equip—Pay 3 life. Activate only once each turn."
Deadly Embrace,Rare,B,{3}{B}{B},Sorcery,Destroy target creature an opponent controls. Then draw a card for each creature that died this turn.
Delivery Moogle,Uncommon,W,{3}{W},Creature — Moogle,"Flying When this creature enters, search your library and/or graveyard for an artifact card with mana value 2 or less, reveal it, and put it into your hand. If you search your library this way, shuffle."
Demon Wall,Uncommon,B,{1}{B},Artifact Creature — Demon Wall,"Defender Menace (This creature can't be blocked except by two or more creatures.) As long as this creature has a counter on it, it can attack as though it didn't have defender. {5}{B}: Put two +1/+1 counters on this creature."
Diamond Weapon,Uncommon,G,{7}{G}{G},Legendary Artifact Creature — Elemental,This spell costs {1} less to cast for each permanent card in your graveyard. Reach Immune — Prevent all combat damage that would be dealt to Diamond Weapon.
"Dion, Bahamut's Dominant // Bahamut, Warden of Light",Rare,W,{3}{W} // ,Legendary Creature — Human Noble Knight // Legendary Enchantment Creature — Saga Dragon,"Dragonfire Dive — During your turn, Dion and other Knights you control have flying. When Dion enters, create a 2/2 white Knight creature token. {4}{W}{W}, {T}: Exile Dion, then return it to the battlefield transformed under its owner's control. Activate only as a sorcery. // (As this Saga enters and after your draw step, add a lore counter.) I, II — Wings of Light — Put a +1/+1 counter on each other creature you control. Those creatures gain flying until end of turn. III — Gigaflare — Destroy target permanent. Exile Bahamut, then return it to the battlefield (front face up). Flying"
Dragoon's Lance,Uncommon,W,{1}{W},Artifact — Equipment,"Job select (When this Equipment enters, create a 1/1 colorless Hero creature token, then attach this to it.) Equipped creature gets +1/+0 and is a Knight in addition to its other types. During your turn, equipped creature has flying. Gae Bolg — Equip {4}"
Dragoon's Wyvern,Common,U,{2}{U},Creature — Drake,"Flying When this creature enters, create a 1/1 colorless Hero creature token."
Dreams of Laguna,Common,U,{1}{U},Instant,"Surveil 1, then draw a card. (To surveil 1, look at the top card of your library. You may put it into your graveyard.) Flashback {3}{U} (You may cast this card from your graveyard for its flashback cost. Then exile it.)"
Dwarven Castle Guard,Common,W,{1}{W},Creature — Dwarf Soldier,"When this creature dies, create a 1/1 colorless Hero creature token."
"Eden, Seat of the Sanctum",Uncommon,Colorless,,Land — Town,"{T}: Add {C}. {5}, {T}: Mill two cards. Then you may sacrifice this land. When you do, return another target permanent card from your graveyard to your hand."
"Edgar, King of Figaro",Rare,U,{4}{U}{U},Legendary Creature — Human Artificer Noble,"When Edgar enters, draw a card for each artifact you control. Two-Headed Coin — The first time you flip one or more coins each turn, those coins come up heads and you win those flips."
Eject,Uncommon,U,{3}{U},Instant,This spell can't be countered. Return target nonland permanent to its owner's hand. Draw a card.
Elixir,Uncommon,Colorless,{1},Artifact,"This artifact enters tapped. {5}, {T}, Exile this artifact: Shuffle all nonland cards from your graveyard into your library. You gain life equal to the number of cards shuffled into your library this way."
"Emet-Selch, Unsundered // Hades, Sorcerer of Eld",Mythic,BU,{1}{U}{B} // ,Legendary Creature — Elder Wizard // Legendary Creature — Avatar,"Vigilance Whenever Emet-Selch enters or attacks, draw a card, then discard a card. At the beginning of your upkeep, if there are fourteen or more cards in your graveyard, you may transform Emet-Selch. // Vigilance Echo of the Lost — During your turn, you may play cards from your graveyard. If a card or token would be put into your graveyard from anywhere, exile it instead."
Esper Origins // Summon: Esper Maduin,Rare,G,{1}{G} // ,Sorcery // Enchantment Creature — Saga Elemental,"Surveil 2. You gain 2 life. If this spell was cast from a graveyard, exile it, then put it onto the battlefield transformed under its owner's control with a finality counter on it. (If a creature with a finality counter on it would die, exile it instead.) Flashback {3}{G} (You may cast this card from your graveyard for its flashback cost. Then exile it.) // (As this Saga enters and after your draw step, add a lore counter. Sacrifice after III.) I — Reveal the top card of your library. If it's a permanent card, put it into your hand. II — Add {G}{G}. III — Other creatures you control get +2/+2 and gain trample until end of turn."
Ether,Uncommon,U,{3}{U},Artifact,"{T}, Exile this artifact: Add {U}. When you next cast an instant or sorcery spell this turn, copy that spell. You may choose new targets for the copy."
Evil Reawakened,Uncommon,B,{4}{B},Sorcery,Return target creature card from your graveyard to the battlefield with two additional +1/+1 counters on it.
Excalibur II,Rare,Colorless,{1},Legendary Artifact — Equipment,"Whenever you gain life, put a charge counter on Excalibur II. Equipped creature gets +1/+1 for each charge counter on Excalibur II. Equip {3}"
"Exdeath, Void Warlock // Neo Exdeath, Dimension's End",Uncommon,BG,{1}{B}{G} // ,Legendary Creature — Spirit Warlock // Legendary Creature — Spirit Avatar,"When Exdeath enters, you gain 3 life. At the beginning of your end step, if there are six or more permanent cards in your graveyard, transform Exdeath. // Trample Neo Exdeath's power is equal to the number of permanent cards in your graveyard."
"Fang, Fearless l'Cie",Uncommon,B,{2}{B},Legendary Creature — Human Warrior,"Whenever one or more cards leave your graveyard, you draw a card and you lose 1 life. This ability triggers only once each turn. (Melds with Vanille, Cheerful l'Cie.)"
Fate of the Sun-Cryst,Common,W,{4}{W},Instant,This spell costs {2} less to cast if it targets a tapped creature. Destroy target nonland permanent.
Fight On!,Common,B,{2}{B},Instant,Return up to two target creature cards from your graveyard to your hand.
Fire Magic,Uncommon,R,{R},Instant,Tiered (Choose one additional cost.) • Fire — {0} — Fire Magic deals 1 damage to each creature. • Fira — {2} — Fire Magic deals 2 damage to each creature. • Firaga — {5} — Fire Magic deals 3 damage to each creature.
"Firion, Wild Rose Warrior",Rare,R,{2}{R},Legendary Creature — Human Rebel Warrior,"Equipped creatures you control have haste. Whenever a nontoken Equipment you control enters, create a token that's a copy of it, except it has ""This Equipment's equip abilities cost {2} less to activate."" Sacrifice that token at the beginning of the next upkeep."
Freya Crescent,Uncommon,R,{R},Legendary Creature — Rat Knight,"Jump — During your turn, Freya Crescent has flying. {T}: Add {R}. Spend this mana only to cast an Equipment spell or activate an equip ability."
From Father to Son,Rare,W,{1}{W},Sorcery,"Search your library for a Vehicle card, reveal it, and put it into your hand. If this spell was cast from a graveyard, put that card onto the battlefield instead. Then shuffle. Flashback {4}{W}{W}{W} (You may cast this card from your graveyard for its flashback cost. Then exile it.)"
Gaelicat,Common,W,{2}{W},Creature — Cat,"Flying, vigilance As long as you control two or more artifacts, this creature gets +2/+0."
Gaius van Baelsar,Uncommon,B,{2}{B}{B},Legendary Creature — Human Soldier,"When Gaius van Baelsar enters, choose one — • Each player sacrifices a creature token of their choice. • Each player sacrifices a nontoken creature of their choice. • Each player sacrifices an enchantment of their choice."
Galuf's Final Act,Uncommon,G,{1}{G},Instant,"Until end of turn, target creature gets +1/+0 and gains ""When this creature dies, put a number of +1/+1 counters equal to its power on up to one target creature."""
"Garland, Knight of Cornelia // Chaos, the Endless",Uncommon,BR,{B}{R} // ,Legendary Creature — Human Knight // Legendary Creature — Demon,"Whenever you cast a noncreature spell, surveil 1. (Look at the top card of your library. You may put it into your graveyard.) {3}{B}{B}{R}{R}: Return this card from your graveyard to the battlefield transformed. Activate only as a sorcery. // Flying When Chaos dies, put it on the bottom of its owner's library."
"Garnet, Princess of Alexandria",Uncommon,GW,{G}{W},Legendary Creature — Human Noble Cleric,"Lifelink Whenever Garnet attacks, you may remove a lore counter from each of any number of Sagas you control. Put a +1/+1 counter on Garnet for each lore counter removed this way."
Genji Glove,Rare,Colorless,{5},Artifact — Equipment,"Equipped creature has double strike. Whenever equipped creature attacks, if it's the first combat phase of the turn, untap it. After this phase, there is an additional combat phase. Equip {3}"
Gigantoad,Common,G,{3}{G},Creature — Frog,"As long as you control seven or more lands, this creature gets +2/+2."
"Gilgamesh, Master-at-Arms",Rare,R,{4}{R}{R},Legendary Creature — Human Samurai,"Whenever Gilgamesh enters or attacks, look at the top six cards of your library. You may put any number of Equipment cards from among them onto the battlefield. Put the rest on the bottom of your library in a random order. When you put one or more Equipment onto the battlefield this way, you may attach one of them to a Samurai you control."
"Giott, King of the Dwarves",Uncommon,RW,{R}{W},Legendary Creature — Dwarf Noble,"Double strike Whenever Giott or another Dwarf you control enters and whenever an Equipment you control enters, you may discard a card. If you do, draw a card."
Gladiolus Amicitia,Uncommon,GR,{4}{R}{G},Legendary Creature — Human Warrior,"When Gladiolus Amicitia enters, search your library for a land card, put it onto the battlefield tapped, then shuffle. Landfall — Whenever a land you control enters, another target creature you control gets +2/+2 and gains trample until end of turn."
"Gogo, Master of Mimicry",Mythic,U,{2}{U},Legendary Creature — Wizard,"{X}{X}, {T}: Copy target activated or triggered ability you control X times. You may choose new targets for the copies. This ability can't be copied and X can't be 0. (Mana abilities can't be targeted.)"
"Gohn, Town of Ruin",Common,BG,,Land — Town,This land enters tapped. {T}: Add {B} or {G}.
"Golbez, Crystal Collector",Rare,BU,{U}{B},Legendary Creature — Human Wizard,"Whenever an artifact you control enters, surveil 1. At the beginning of your end step, if you control four or more artifacts, return target creature card from your graveyard to your hand. Then if you control eight or more artifacts, each opponent loses life equal to that card's power."
"Gongaga, Reactor Town",Common,GR,,Land — Town,This land enters tapped. {T}: Add {R} or {G}.
Goobbue Gardener,Common,G,{1}{G},Creature — Plant Beast,{T}: Add {G}.
G'raha Tia,Uncommon,W,{4}{W},Legendary Creature — Cat Archer,"Reach The Allagan Eye — Whenever one or more other creatures and/or artifacts you control die, draw a card. This ability triggers only once each turn."
Gran Pulse Ochu,Common,G,{G},Creature — Plant Beast,"Deathtouch {8}: Until end of turn, this creature gets +1/+1 for each permanent card in your graveyard."
"Guadosalam, Farplane Gateway",Common,GU,,Land — Town,This land enters tapped. {T}: Add {G} or {U}.
Gysahl Greens,Common,G,{1}{G},Sorcery,"Create a 2/2 green Bird creature token with ""Whenever a land you control enters, this token gets +1/+0 until end of turn."" Flashback {6}{G} (You may cast this card from your graveyard for its flashback cost. Then exile it.)"
Haste Magic,Common,R,{1}{R},Instant,Target creature gets +3/+1 and gains haste until end of turn. Exile the top card of your library. You may play it until your next end step.
Hecteyes,Common,B,{1}{B},Creature — Ooze Horror,"When this creature enters, each opponent discards a card."
Hill Gigas,Common,R,{4}{R}{R},Creature — Giant,"Trample, haste Mountaincycling {2} ({2}, Discard this card: Search your library for a Mountain card, reveal it, put it into your hand, then shuffle.)"
Hope Estheim,Rare,UW,{W}{U},Legendary Creature — Human Wizard,"Lifelink At the beginning of your end step, each opponent mills X cards, where X is the amount of life you gained this turn."
