Name,Rarity,Color Identity,Mana Cost,Type Line,Card Text
Ice Flan,Common,U,{4}{U}{U},Creature — Elemental Ooze,"When this creature enters, tap target artifact or creature an opponent controls. Put a stun counter on it. (If a permanent with a stun counter would become untapped, remove one from it instead.) Islandcycling {2} ({2}, Discard this card: Search your library for an Island card, reveal it, put it into your hand, then shuffle.)"
Ice Magic,Common,U,{1}{U},Instant,Tiered (Choose one additional cost.) • Blizzard — {0} — Return target creature to its owner's hand. • Blizzara — {2} — Target creature's owner puts it on their choice of the top or bottom of their library. • Blizzaga — {5}{U} — Target creature's owner shuffles it into their library.
Ignis Scientia,Uncommon,GU,{1}{G}{U},Legendary Creature — Human Advisor,"When Ignis Scientia enters, look at the top six cards of your library. You may put a land card from among them onto the battlefield tapped. Put the rest on the bottom of your library in a random order. I've Come Up with a New Recipe! — {1}{G}{U}, {T}: Exile target card from a graveyard. If a creature card was exiled this way, create a Food token."
Il Mheg Pixie,Uncommon,U,{1}{U},Creature — Faerie,"Flying Whenever this creature attacks, surveil 1. (Look at the top card of your library. You may put it into your graveyard.)"
"Insomnia, Crown City",Common,BW,,Land — Town,This land enters tapped. {T}: Add {W} or {B}.
Instant Ramen,Common,Colorless,{2},Artifact — Food,"Flash When this artifact enters, draw a card. {2}, {T}, Sacrifice this artifact: You gain 3 life."
Iron Giant,Common,Colorless,{7},Artifact Creature — Demon,"Vigilance, reach, trample"
"Ishgard, the Holy See // Faith & Grief",Rare,W,{3}{W}{W},Land — Town // Sorcery — Adventure,This land enters tapped. {T}: Add {W}. // Return up to two target artifact and/or enchantment cards from your graveyard to your hand. (Then exile this card. You may play the land later from exile.)
Item Shopkeep,Common,R,{1}{R},Creature — Human Citizen,"Whenever you attack, target attacking equipped creature gains menace until end of turn. (It can't be blocked except by two or more creatures.)"
"Jecht, Reluctant Guardian // Braska's Final Aeon",Rare,B,{3}{B} // ,Legendary Creature — Human Warrior // Legendary Enchantment Creature — Saga Nightmare,"Menace Whenever Jecht deals combat damage to a player, you may exile it, then return it to the battlefield transformed under its owner's control. // (As this Saga enters and after your draw step, add a lore counter. Sacrifice after III.) I, II — Jecht Beam — Each opponent discards a card and you draw a card. III — Ultimate Jecht Shot — Each opponent sacrifices two creatures of their choice. Menace"
"Jenova, Ancient Calamity",Rare,BG,{2}{B}{G},Legendary Creature — Alien,"At the beginning of combat on your turn, put a number of +1/+1 counters equal to Jenova's power on up to one other target creature. That creature becomes a Mutant in addition to its other types. Whenever a Mutant you control dies during your turn, you draw cards equal to its power."
"Jidoor, Aristocratic Capital // Overture",Rare,U,{4}{U}{U},Land — Town // Sorcery — Adventure,"This land enters tapped. {T}: Add {U}. // Target opponent mills half their library, rounded down. (Then exile this card. You may play the land later from exile.)"
"Jill, Shiva's Dominant // Shiva, Warden of Ice",Rare,U,{2}{U} // ,Legendary Creature — Human Noble Warrior // Legendary Enchantment Creature — Saga Elemental,"When Jill enters, return up to one other target nonland permanent to its owner's hand. {3}{U}{U}, {T}: Exile Jill, then return it to the battlefield transformed under its owner's control. Activate only as a sorcery. // (As this Saga enters and after your draw step, add a lore counter.) I, II — Mesmerize — Target creature can't be blocked this turn. III — Cold Snap — Tap all lands your opponents control. Exile Shiva, then return it to the battlefield (front face up)."
"Joshua, Phoenix's Dominant // Phoenix, Warden of Fire",Rare,RW,{1}{R}{W} // ,Legendary Creature — Human Noble Wizard // Legendary Enchantment Creature — Saga Phoenix,"When Joshua enters, discard up to two cards, then draw that many cards. {3}{R}{W}, {T}: Exile Joshua, then return it to the battlefield transformed under its owner's control. Activate only as a sorcery. // (As this Saga enters and after your draw step, add a lore counter.) I, II — Rising Flames — Phoenix deals 2 damage to each opponent. III — Flames of Rebirth — Return any number of target creature cards with total mana value 6 or less from your graveyard to the battlefield. Exile Phoenix, then return it to the battlefield (front face up). Flying, lifelink"
Judge Magister Gabranth,Uncommon,BW,{W}{B},Legendary Creature — Human Advisor Knight,"Menace (This creature can't be blocked except by two or more creatures.) Whenever another creature or artifact you control dies, put a +1/+1 counter on Judge Magister Gabranth."
Judgment Bolt,Rare,R,{3}{R},Instant,"Judgment Bolt deals 5 damage to target creature and X damage to that creature's controller, where X is the number of Equipment you control."
Jumbo Cactuar,Rare,G,{5}{G}{G},Creature — Plant,"10,000 Needles — Whenever this creature attacks, it gets +9999/+0 until end of turn."
"Kain, Traitorous Dragoon",Rare,B,{2}{B},Legendary Creature — Human Knight,"Jump — During your turn, Kain has flying. Whenever Kain deals combat damage to a player, that player gains control of Kain. If they do, you draw that many cards, create that many tapped Treasure tokens, then lose that much life."
"Kefka, Court Mage // Kefka, Ruler of Ruin",Mythic,BRU,{2}{U}{B}{R} // ,Legendary Creature — Human Wizard // Legendary Creature — Avatar Wizard,"Whenever Kefka enters or attacks, each player discards a card. Then you draw a card for each card type among cards discarded this way. {8}: Each opponent sacrifices a permanent of their choice. Transform Kefka. Activate only as a sorcery. // Flying Whenever an opponent loses life during your turn, you draw that many cards."
"Kuja, Genome Sorcerer // Trance Kuja, Fate Defied",Rare,BR,{2}{B}{R} // ,Legendary Creature — Human Mutant Wizard // Legendary Creature — Avatar Wizard,"At the beginning of your end step, create a tapped 0/1 black Wizard creature token with ""Whenever you cast a noncreature spell, this token deals 1 damage to each opponent."" Then if you control four or more Wizards, transform Kuja. // Flare Star — If a Wizard you control would deal damage to a permanent or player, it deals double that damage instead."
Laughing Mad,Common,R,{2}{R},Instant,"As an additional cost to cast this spell, discard a card. Draw two cards. Flashback {3}{R} (You may cast this card from your graveyard for its flashback cost and any additional costs. Then exile it.)"
"Lightning, Army of One",Mythic,RW,{1}{R}{W},Legendary Creature — Human Soldier,"First strike, trample, lifelink Stagger — Whenever Lightning deals combat damage to a player, until your next turn, if a source would deal damage to that player or a permanent that player controls, it deals double that damage instead."
"Lightning, Security Sergeant",Rare,R,{2}{R},Legendary Creature — Human Soldier,"Menace (This creature can't be blocked except by two or more creatures.) Whenever Lightning deals combat damage to a player, exile the top card of your library. You may play that card for as long as you control Lightning."
Light of Judgment,Common,R,{4}{R},Instant,Light of Judgment deals 6 damage to target creature. Destroy up to one Equipment attached to that creature.
"Lindblum, Industrial Regency // Mage Siege",Rare,R,{2}{R},Land — Town // Instant — Adventure,"This land enters tapped. {T}: Add {R}. // Create a 0/1 black Wizard creature token with ""Whenever you cast a noncreature spell, this token deals 1 damage to each opponent."""
Lion Heart,Uncommon,Colorless,{4},Artifact — Equipment,"When this Equipment enters, it deals 2 damage to any target. Equipped creature gets +2/+1. Equip {2}"
Locke Cole,Uncommon,BU,{1}{U}{B},Legendary Creature — Human Rogue,"Deathtouch, lifelink Whenever Locke Cole deals combat damage to a player, draw a card, then discard a card."
Loporrit Scout,Common,G,{2}{G},Creature — Rabbit Scout,"Whenever another creature you control enters, this creature gets +1/+1 until end of turn."
Louisoix's Sacrifice,Rare,U,{U},Instant,"As an additional cost to cast this spell, sacrifice a legendary creature or pay {2}. Counter target activated ability, triggered ability, or noncreature spell."
Lunatic Pandora,Common,Colorless,{1},Legendary Artifact,"{2}, {T}: Surveil 1. (Look at the top card of your library. You may put it into your graveyard.) {6}, {T}, Sacrifice Lunatic Pandora: Destroy target nonland permanent."
Machinist's Arsenal,Rare,W,{4}{W},Artifact — Equipment,"Job select (When this Equipment enters, create a 1/1 colorless Hero creature token, then attach this to it.) Equipped creature gets +2/+2 for each artifact you control and is an Artificer in addition to its other types. Machina — Equip {4} ({4}: Attach to target creature you control. Equip only as a sorcery.)"
Magic Damper,Common,U,{U},Instant,Target creature you control gets +1/+1 and gains hexproof until end of turn. Untap it.
Magic Pot,Common,Colorless,{3},Artifact Creature — Goblin Construct,"When this creature dies, create a Treasure token. (It's an artifact with ""{T}, Sacrifice this token: Add one mana of any color."") {2}, {T}: Exile target card from a graveyard."
Magitek Armor,Uncommon,W,{3}{W},Artifact — Vehicle,"When this Vehicle enters, create a 1/1 colorless Hero creature token. Crew 1 (Tap any number of creatures you control with total power 1 or more: This Vehicle becomes an artifact creature until end of turn.)"
Magitek Infantry,Common,W,{W},Artifact Creature — Robot Soldier,"This creature gets +1/+0 as long as you control another artifact. {2}{W}: Search your library for a card named Magitek Infantry, put it onto the battlefield tapped, then shuffle."
Magitek Scythe,Rare,Colorless,{4},Artifact — Equipment,"A Test of Your Reflexes! — When this Equipment enters, you may attach it to target creature you control. If you do, that creature gains first strike until end of turn and must be blocked this turn if able. Equipped creature gets +2/+1. Equip {2}"
Malboro,Common,B,{4}{B}{B},Creature — Plant Horror,"Bad Breath — When this creature enters, each opponent discards a card, loses 2 life, and exiles the top three cards of their library. Swampcycling {2} ({2}, Discard this card: Search your library for a Swamp card, reveal it, put it into your hand, then shuffle.)"
"Matoya, Archon Elder",Rare,U,{2}{U},Legendary Creature — Human Warlock,"Whenever you scry or surveil, draw a card. (Draw after you scry or surveil.)"
Memories Returning,Rare,U,{2}{U}{U},Sorcery,Reveal the top five cards of your library. Put one of them into your hand. Then choose an opponent. They put one on the bottom of your library. Then you put one into your hand. Then they put one on the bottom of your library. Put the other into your hand. Flashback {7}{U}{U}
"Midgar, City of Mako // Reactor Raid",Rare,B,{2}{B},Land — Town // Sorcery — Adventure,"This land enters tapped. {T}: Add {B}. // You may sacrifice an artifact or creature. If you do, draw two cards. (Then exile this card. You may play the land later from exile.)"
"Minwu, White Mage",Rare,W,{3}{W}{W},Legendary Creature — Human Cleric,"Vigilance, lifelink Whenever you gain life, put a +1/+1 counter on each Cleric you control."
Monk's Fist,Common,Colorless,{2},Artifact — Equipment,"Job select (When this Equipment enters, create a 1/1 colorless Hero creature token, then attach this to it.) Equipped creature gets +1/+0 and is a Monk in addition to its other types. Equip {2} ({2}: Attach to target creature you control. Equip only as a sorcery.)"
Moogles' Valor,Rare,W,{3}{W}{W},Instant,"For each creature you control, create a 1/2 white Moogle creature token with lifelink. Then creatures you control gain indestructible until end of turn."
Mysidian Elder,Common,R,{2}{R},Creature — Human Wizard,"When this creature enters, create a 0/1 black Wizard creature token with ""Whenever you cast a noncreature spell, this token deals 1 damage to each opponent."""
Namazu Trader,Common,B,{3}{B},Creature — Fish Citizen,"When this creature enters, you lose 1 life and create a Treasure token. Whenever this creature attacks, you may sacrifice another creature or artifact. If you do, surveil 2. (Look at the top two cards of your library, then put any number of them into your graveyard and the rest on top of your library in any order.)"
Nibelheim Aflame,Mythic,R,{2}{R}{R},Sorcery,"Choose target creature you control. It deals damage equal to its power to each other creature. If this spell was cast from a graveyard, discard your hand and draw four cards. Flashback {5}{R}{R} (You may cast this card from your graveyard for its flashback cost. Then exile it.)"
Ninja's Blades,Rare,B,{2}{B},Artifact — Equipment,"Job select Equipped creature gets +1/+1, is a Ninja in addition to its other types, and has ""Whenever this creature deals combat damage to a player, draw a card, then discard a card. That player loses life equal to the discarded card's mana value."" Mutsunokami — Equip {2}"
"Noctis, Prince of Lucis",Rare,BUW,{1}{W}{U}{B},Legendary Creature — Human Noble,"Lifelink You may cast artifact spells from your graveyard by paying 3 life in addition to paying their other costs. If you cast a spell this way, that artifact enters with a finality counter on it."
"Omega, Heartless Evolution",Uncommon,GU,{5}{G}{U},Legendary Artifact Creature — Robot,"Wave Cannon — When Omega enters, for each opponent, tap up to one target nonland permanent that opponent controls. Put X stun counters on each of those permanents and you gain X life, where X is the number of nonbasic lands you control. (If a permanent with a stun counter would become untapped, remove one from it instead.)"
Opera Love Song,Uncommon,R,{1}{R},Instant,Choose one — • Exile the top two cards of your library. You may play those cards until your next end step. • One or two target creatures each get +2/+0 until end of turn.
Overkill,Uncommon,B,{2}{B},Instant,Target creature gets -0/-9999 until end of turn.
Paladin's Arms,Common,W,{2}{W},Artifact — Equipment,"Job select (When this Equipment enters, create a 1/1 colorless Hero creature token, then attach this to it.) Equipped creature gets +2/+1, has ward {1}, and is a Knight in addition to its other types. Lightbringer and Hero's Shield — Equip {4} ({4}: Attach to target creature you control. Equip only as a sorcery.)"
Phantom Train,Uncommon,B,{3}{B},Artifact — Vehicle,Trample Sacrifice another artifact or creature: Put a +1/+1 counter on this Vehicle. It becomes a Spirit artifact creature in addition to its other types until end of turn.
Phoenix Down,Uncommon,W,{W},Artifact,"{1}{W}, {T}, Exile this artifact: Choose one — • Return target creature card with mana value 4 or less from your graveyard to the battlefield tapped. • Exile target Skeleton, Spirit, or Zombie."
Poison the Waters,Uncommon,B,{1}{B},Sorcery,Choose one — • All creatures get -1/-1 until end of turn. • Target player reveals their hand. You choose an artifact or creature card from it. That player discards that card.
Prishe's Wanderings,Common,G,{2}{G},Instant,"Search your library for a basic land card or Town card, put it onto the battlefield tapped, then shuffle. When you search your library this way, put a +1/+1 counter on target creature you control."
Prompto Argentum,Uncommon,R,{1}{R},Legendary Creature — Human Scout,"Haste Selfie Shot — Whenever you cast a noncreature spell, if at least four mana was spent to cast it, create a Treasure token."
PuPu UFO,Uncommon,Colorless,{2},Artifact Creature — Construct Alien,"Flying {T}: You may put a land card from your hand onto the battlefield. {3}: Until end of turn, this creature's base power becomes equal to the number of Towns you control."
Qiqirn Merchant,Common,U,{2}{U},Creature — Beast Citizen,"{1}, {T}: Draw a card, then discard a card. {7}, {T}, Sacrifice this creature: Draw three cards. This ability costs {1} less to activate for each Town you control."
Queen Brahne,Uncommon,R,{2}{R},Legendary Creature — Human Noble,"Prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.) Whenever Queen Brahne attacks, create a 0/1 black Wizard creature token with ""Whenever you cast a noncreature spell, this token deals 1 damage to each opponent."""
"Quina, Qu Gourmet",Uncommon,G,{2}{G},Legendary Creature — Qu,"If one or more tokens would be created under your control, those tokens plus a 1/1 green Frog creature token are created instead. {2}, Sacrifice a Frog: Put a +1/+1 counter on Quina."
Quistis Trepe,Uncommon,U,{2}{U},Legendary Creature — Human Wizard,"Blue Magic — When Quistis Trepe enters, you may cast target instant or sorcery card from a graveyard, and mana of any type can be spent to cast that spell. If that spell would be put into a graveyard, exile it instead."
Qutrub Forayer,Common,B,{2}{B},Creature — Zombie Horror,"When this creature enters, choose one — • Destroy target creature that was dealt damage this turn. • Exile up to two target cards from a single graveyard."
"Rabanastre, Royal City",Common,RW,,Land — Town,This land enters tapped. {T}: Add {R} or {W}.
"Ragnarok, Divine Deliverance",Uncommon,BG,,Legendary Creature — Beast Avatar,"Vigilance, menace, trample, reach, haste When Ragnarok dies, destroy target permanent and return target nonlegendary permanent card from your graveyard to the battlefield."
Random Encounter,Uncommon,R,{4}{R}{R},Sorcery,"Shuffle your library, then mill four cards. Put each creature card milled this way onto the battlefield. They gain haste. At the beginning of the next end step, return those creatures to their owner's hand. Flashback {6}{R}{R} (You may cast this card from your graveyard for its flashback cost. Then exile it.)"
"Raubahn, Bull of Ala Mhigo",Rare,R,{1}{R},Legendary Creature — Human Warrior,"Ward—Pay life equal to Raubahn's power. Whenever Raubahn attacks, attach up to one target Equipment you control to target attacking creature."
Reach the Horizon,Uncommon,G,{3}{G},Sorcery,"Search your library for up to two basic land cards and/or Town cards with different names, put them onto the battlefield tapped, then shuffle."
Red Mage's Rapier,Common,R,{1}{R},Artifact — Equipment,"Job select (When this Equipment enters, create a 1/1 colorless Hero creature token, then attach this to it.) Equipped creature has ""Whenever you cast a noncreature spell, this creature gets +2/+0 until end of turn"" and is a Wizard in addition to its other types. Equip {3}"
Relentless X-ATM092,Uncommon,Colorless,{6},Artifact Creature — Robot Spider,"This creature can't be blocked except by three or more creatures. {8}: Return this card from your graveyard to the battlefield tapped with a finality counter on it. (If a creature with a finality counter on it would die, exile it instead.)"
Relm's Sketching,Uncommon,U,{2}{U}{U},Sorcery,"Create a token that's a copy of target artifact, creature, or land."
Reno and Rude,Uncommon,B,{1}{B},Legendary Creature — Human Assassin,"Menace Whenever Reno and Rude deals combat damage to a player, exile the top card of that player's library. Then you may sacrifice another creature or artifact. If you do, you may play the exiled card this turn, and mana of any type can be spent to cast it."
Resentful Revelation,Common,B,{1}{B},Sorcery,Look at the top three cards of your library. Put one of them into your hand and the rest into your graveyard. Flashback {6}{B} (You may cast this card from your graveyard for its flashback cost. Then exile it.)
Restoration Magic,Uncommon,W,{W},Instant,Tiered (Choose one additional cost.) • Cure — {0} — Target permanent gains hexproof and indestructible until end of turn. • Cura — {1} — Target permanent gains hexproof and indestructible until end of turn. You gain 3 life. • Curaga — {3}{W} — Permanents you control gain hexproof and indestructible until end of turn. You gain 6 life.
Retrieve the Esper,Common,U,{3}{U},Sorcery,"Create a 3/3 blue Robot Warrior artifact creature token. Then if this spell was cast from a graveyard, put two +1/+1 counters on that token. Flashback {5}{U} (You may cast this card from your graveyard for its flashback cost. Then exile it.)"
Ride the Shoopuf,Uncommon,G,{1}{G},Enchantment,"Landfall — Whenever a land you control enters, put a +1/+1 counter on target creature you control. {5}{G}{G}: This enchantment becomes a 7/7 Beast creature in addition to its other types."
Ring of the Lucii,Uncommon,Colorless,{4},Legendary Artifact,"{T}: Add {C}{C}. {2}, {T}, Pay 1 life: Tap target nonland permanent."
Rinoa Heartilly,Uncommon,GW,{3}{G}{W},Legendary Creature — Human Rebel Warlock,"When Rinoa Heartilly enters, create Angelo, a legendary 1/1 green and white Dog creature token. Angelo Cannon — Whenever Rinoa Heartilly attacks, another target creature you control gets +1/+1 until end of turn for each creature you control."
Rook Turret,Common,U,{3}{U},Artifact Creature — Construct,"Flying Whenever another artifact you control enters, you may draw a card. If you do, discard a card."
"Rosa, Resolute White Mage",Rare,W,{3}{W},Legendary Creature — Human Noble Cleric,"Reach (This creature can block creatures with flying.) At the beginning of combat on your turn, put a +1/+1 counter on target creature you control. It gains lifelink until end of turn. (Damage dealt by the creature also causes you to gain that much life.)"
Rufus Shinra,Uncommon,BW,{1}{W}{B},Legendary Creature — Human Noble,"Whenever Rufus Shinra attacks, if you don't control a creature named Darkstar, create Darkstar, a legendary 2/2 white and black Dog creature token."
Rydia's Return,Uncommon,G,{3}{G}{G},Sorcery,Choose one — • Creatures you control get +3/+3 until end of turn. • Return up to two target permanent cards from your graveyard to your hand.
"Rydia, Summoner of Mist",Uncommon,GR,{R}{G},Legendary Creature — Human Shaman,"Landfall — Whenever a land you control enters, you may discard a card. If you do, draw a card. Summon — {X}, {T}: Return target Saga card with mana value X from your graveyard to the battlefield with a finality counter on it. It gains haste until end of turn. Activate only as a sorcery."
Sabotender,Common,R,{1}{R},Creature — Plant,"Reach Landfall — Whenever a land you control enters, this creature deals 1 damage to each opponent."
Sage's Nouliths,Common,U,{1}{U},Artifact — Equipment,"Job select (When this Equipment enters, create a 1/1 colorless Hero creature token, then attach this to it.) Equipped creature gets +1/+0, has ""Whenever this creature attacks, untap target attacking creature,"" and is a Cleric in addition to its other types. Hagneia — Equip {3}"
Sahagin,Common,U,{1}{U},Creature — Merfolk Warrior,"Whenever you cast a noncreature spell, if at least four mana was spent to cast it, put a +1/+1 counter on this creature and it can't be blocked this turn."
Samurai's Katana,Uncommon,R,{2}{R},Artifact — Equipment,"Job select (When this Equipment enters, create a 1/1 colorless Hero creature token, then attach this to it.) Equipped creature gets +2/+2, has trample and haste, and is a Samurai in addition to its other types. Murasame — Equip {5}"
Sandworm,Uncommon,R,{4}{R},Creature — Worm,"Haste When this creature enters, destroy target land. Its controller may search their library for a basic land card, put it onto the battlefield tapped, then shuffle."
Sazh Katzroy,Rare,G,{3}{G},Legendary Creature — Human Pilot,"When Sazh Katzroy enters, you may search your library for a Bird or basic land card, reveal it, put it into your hand, then shuffle. Whenever Sazh Katzroy attacks, put a +1/+1 counter on target creature, then double the number of +1/+1 counters on that creature."
Sazh's Chocobo,Uncommon,G,{G},Creature — Bird,"Landfall — Whenever a land you control enters, put a +1/+1 counter on this creature."
Scorpion Sentinel,Common,U,{1}{U},Artifact Creature — Robot Scorpion,"As long as you control seven or more lands, this creature gets +3/+0."
Seifer Almasy,Rare,R,{3}{R},Legendary Creature — Human Knight,"Whenever a creature you control attacks alone, it gains double strike until end of turn. Fire Cross — Whenever Seifer Almasy deals combat damage to a player, you may cast target instant or sorcery card with mana value 3 or less from your graveyard without paying its mana cost. If that spell would be put into your graveyard, exile it instead."
Self-Destruct,Uncommon,R,{1}{R},Instant,"Target creature you control deals X damage to any other target and X damage to itself, where X is its power."
"Sephiroth, Fabled SOLDIER // Sephiroth, One-Winged Angel",Mythic,B,{2}{B} // ,Legendary Creature — Human Avatar Soldier // Legendary Creature — Angel Nightmare Avatar,"Whenever Sephiroth enters or attacks, you may sacrifice another creature. If you do, draw a card. Whenever another creature dies, target opponent loses 1 life and you gain 1 life. If this is the fourth time this ability has resolved this turn, transform Sephiroth. // Flying Super Nova — As this creature transforms into Sephiroth, One-Winged Angel, you get an emblem with ""Whenever a creature dies, target opponent loses 1 life and you gain 1 life."" Whenever Sephiroth attacks, you may sacrifice any number of other creatures. If you do, draw that many cards."
"Sephiroth, Planet's Heir",Mythic,BU,{4}{U}{B},Legendary Creature — Human Avatar Soldier,"Vigilance (Attacking doesn't cause this creature to tap.) When Sephiroth enters, creatures your opponents control get -2/-2 until end of turn. Whenever a creature an opponent controls dies, put a +1/+1 counter on Sephiroth."
Sephiroth's Intervention,Common,B,{3}{B},Instant,Destroy target creature. You gain 2 life.
Serah Farron // Crystallized Serah,Rare,GW,{1}{G}{W} // ,Legendary Creature — Human Citizen // Legendary Artifact,"The first legendary creature spell you cast each turn costs {2} less to cast. At the beginning of combat on your turn, if you control two or more other legendary creatures, you may transform Serah Farron. // The first legendary creature spell you cast each turn costs {2} less to cast. Legendary creatures you control get +2/+2."
Seymour Flux,Rare,B,{4}{B},Legendary Creature — Spirit Avatar,"At the beginning of your upkeep, you may pay 1 life. If you do, draw a card and put a +1/+1 counter on Seymour Flux."
Shambling Cie'th,Uncommon,B,{2}{B},Creature — Mutant Horror,"This creature enters tapped. Whenever you cast a noncreature spell, you may pay {B}. If you do, return this card from your graveyard to your hand."
"Shantotto, Tactician Magician",Uncommon,RU,{1}{U}{R},Legendary Creature — Dwarf Wizard,"Whenever you cast a noncreature spell, Shantotto gets +X/+0 until end of turn, where X is the amount of mana spent to cast that spell. If X is 4 or more, draw a card."
"Sharlayan, Nation of Scholars",Common,UW,,Land — Town,This land enters tapped. {T}: Add {W} or {U}.
Shinra Reinforcements,Common,B,{2}{B},Creature — Human Soldier,"When this creature enters, mill three cards and you gain 3 life. (To mill three cards, put the top three cards of your library into your graveyard.)"
Sidequest: Card Collection // Magicked Card,Uncommon,U,{3}{U} // ,Enchantment // Artifact — Vehicle,"When this enchantment enters, draw three cards, then discard two cards. At the beginning of your end step, if eight or more cards are in your graveyard, transform this enchantment. // Flying Crew 1 (Tap any number of creatures you control with total power 1 or more: This Vehicle becomes an artifact creature until end of turn.)"
Sidequest: Catch a Fish // Cooking Campsite,Uncommon,W,{2}{W} // ,Enchantment // Land,"At the beginning of your upkeep, look at the top card of your library. If it's an artifact or creature card, you may reveal it and put it into your hand. If you put a card into your hand this way, create a Food token and transform this enchantment. // {T}: Add {W}. {3}, {T}, Sacrifice an artifact: Put a +1/+1 counter on each creature you control. Activate only as a sorcery."
"Sidequest: Hunt the Mark // Yiazmat, Ultimate Mark",Uncommon,B,{3}{B}{B} // ,Enchantment // Legendary Creature — Dragon,"When this enchantment enters, destroy up to one target creature. At the beginning of your end step, if a creature died under an opponent's control this turn, create a Treasure token. Then if you control three or more Treasures, transform this enchantment. // {1}{B}, Sacrifice another creature or artifact: Yiazmat gains indestructible until end of turn. Tap it."
