Name,Rarity,Color Identity,Mana Cost,Type Line,Card Text
"Sidequest: Play Blitzball // World Champion, Celestial Weapon",Uncommon,R,{2}{R} // ,Enchantment // Legendary Artifact — Equipment,"At the beginning of combat on your turn, target creature you control gets +2/+0 until end of turn. At the end of combat on your turn, if a player was dealt 6 or more combat damage this turn, transform this enchantment, then attach it to a creature you control. // Double Overdrive — Equipped creature gets +2/+0 and has double strike. Equip {3} ({3}: Attach to target creature you control. Equip only as a sorcery.)"
Sidequest: Raise a Chocobo // Black Chocobo,Uncommon,G,{1}{G} // ,Enchantment // Creature — Bird,"When this enchantment enters, create a 2/2 green Bird creature token with ""Whenever a land you control enters, this token gets +1/+0 until end of turn."" At the beginning of your first main phase, if you control four or more Birds, transform this enchantment. // When this permanent transforms into Black Chocobo, search your library for a land card, put it onto the battlefield tapped, then shuffle. Landfall — Whenever a land you control enters, Birds you control get +1/+0 until end of turn."
"Sin, Spira's Punishment",Rare,BGU,{4}{B}{G}{U},Legendary Creature — Leviathan Avatar,"Flying Whenever Sin enters or attacks, exile a permanent card from your graveyard at random, then create a tapped token that's a copy of that card. If the exiled card is a land card, repeat this process."
Slash of Light,Common,W,{1}{W},Instant,Slash of Light deals damage equal to the number of creatures you control plus the number of Equipment you control to target creature.
Sleep Magic,Uncommon,U,{U},Enchantment — Aura,"Enchant creature When this Aura enters, tap enchanted creature. Enchanted creature doesn't untap during its controller's untap step. When enchanted creature is dealt damage, sacrifice this Aura."
Snow Villiers,Uncommon,W,{2}{W},Legendary Creature — Human Rebel Monk,Vigilance Snow Villiers's power is equal to the number of creatures you control.
Sorceress's Schemes,Uncommon,R,{3}{R},Sorcery,Return target instant or sorcery card from your graveyard or exiled card with flashback you own to your hand. Add {R}. Flashback {4}{R} (You may cast this card from your graveyard for its flashback cost. Then exile it.)
"Squall, SeeD Mercenary",Rare,BW,{2}{W}{B},Legendary Creature — Human Knight Mercenary,"Rough Divide — Whenever a creature you control attacks alone, it gains double strike until end of turn. Whenever Squall deals combat damage to a player, return target permanent card with mana value 3 or less from your graveyard to the battlefield."
Starting Town,Rare,Colorless,,Land — Town,"This land enters tapped unless it's your first, second, or third turn of the game. {T}: Add {C}. {T}, Pay 1 life: Add one mana of any color."
"Stiltzkin, Moogle Merchant",Rare,W,{W},Legendary Creature — Moogle,"Lifelink {2}, {T}: Target opponent gains control of another target permanent you control. If they do, you draw a card."
Stolen Uniform,Uncommon,U,{U},Instant,"Choose target creature you control and target Equipment. Gain control of that Equipment until end of turn. Attach it to the chosen creature. When you lose control of that Equipment this turn, if it's attached to a creature you control, unattach it."
Stuck in Summoner's Sanctum,Common,U,{2}{U},Enchantment — Aura,"Flash Enchant artifact or creature When this Aura enters, tap enchanted permanent. Enchanted permanent doesn't untap during its controller's untap step and its activated abilities can't be activated."
Summon: Anima,Uncommon,B,{4}{B}{B},Enchantment Creature — Saga Horror,"(As this Saga enters and after your draw step, add a lore counter. Sacrifice after IV.) I, II, III — Pain — You draw a card and you lose 1 life. IV — Oblivion — Each opponent sacrifices a creature of their choice and loses 3 life. Menace"
Summon: Bahamut,Mythic,Colorless,{9},Enchantment Creature — Saga Dragon,"(As this Saga enters and after your draw step, add a lore counter. Sacrifice after IV.) I, II — Destroy up to one target nonland permanent. III — Draw two cards. IV — Mega Flare — This creature deals damage equal to the total mana value of other permanents you control to each opponent. Flying"
Summon: Brynhildr,Rare,R,{1}{R},Enchantment Creature — Saga Knight,"(As this Saga enters and after your draw step, add a lore counter. Sacrifice after III.) I — Chain — Exile the top card of your library. During any turn you put a lore counter on this Saga, you may play that card. II, III — Gestalt Mode — When you next cast a creature spell this turn, it gains haste until end of turn."
Summon: Choco/Mog,Common,W,{2}{W},Enchantment Creature — Saga Bird Moogle,"(As this Saga enters and after your draw step, add a lore counter. Sacrifice after IV.) I, II, III, IV — Stampede! — Other creatures you control get +1/+0 until end of turn."
Summoner's Grimoire,Rare,G,{3}{G},Artifact — Equipment,"Job select Equipped creature is a Shaman in addition to its other types and has ""Whenever this creature attacks, you may put a creature card from your hand onto the battlefield. If that card is an enchantment card, it enters tapped and attacking."" Abraxas — Equip {3}"
Summon: Esper Ramuh,Uncommon,R,{2}{R}{R},Enchantment Creature — Saga Wizard,"(As this Saga enters and after your draw step, add a lore counter. Sacrifice after III.) I — Judgment Bolt — This creature deals damage equal to the number of noncreature, nonland cards in your graveyard to target creature an opponent controls. II, III — Wizards you control get +1/+0 until end of turn."
Summon: Fat Chocobo,Common,G,{4}{G},Enchantment Creature — Saga Bird,"(As this Saga enters and after your draw step, add a lore counter. Sacrifice after IV.) I — Wark — Create a 2/2 green Bird creature token with ""Whenever a land you control enters, this token gets +1/+0 until end of turn."" II, III, IV — Kerplunk — Creatures you control gain trample until end of turn."
Summon: Fenrir,Uncommon,G,{2}{G},Enchantment Creature — Saga Wolf,"(As this Saga enters and after your draw step, add a lore counter. Sacrifice after III.) I — Crescent Fang — Search your library for a basic land card, put it onto the battlefield tapped, then shuffle. II — Heavenward Howl — When you next cast a creature spell this turn, that creature enters with an additional +1/+1 counter on it. III — Ecliptic Growl — Draw a card if you control the creature with the greatest power or tied for the greatest power."
Summon: G.F. Cerberus,Rare,R,{2}{R}{R},Enchantment Creature — Saga Dog,"(As this Saga enters and after your draw step, add a lore counter. Sacrifice after III.) I — Surveil 1. (Look at the top card of your library. You may put it into your graveyard.) II — Double — When you next cast an instant or sorcery spell this turn, copy it. You may choose new targets for the copy. III — Triple — When you next cast an instant or sorcery spell this turn, copy it twice. You may choose new targets for the copies."
Summon: G.F. Ifrit,Common,R,{2}{R},Enchantment Creature — Saga Demon,"(As this Saga enters and after your draw step, add a lore counter. Sacrifice after IV.) I, II — You may discard a card. If you do, draw a card. III, IV — Add {R}."
Summon: Knights of Round,Mythic,W,{6}{W}{W},Enchantment Creature — Saga Knight,"(As this Saga enters and after your draw step, add a lore counter. Sacrifice after V.) I, II, III, IV — Create three 2/2 white Knight creature tokens. V — Ultimate End — Other creatures you control get +2/+2 until end of turn. Put an indestructible counter on each of them. Indestructible"
Summon: Leviathan,Rare,U,{4}{U}{U},Enchantment Creature — Saga Leviathan,"(As this Saga enters and after your draw step, add a lore counter. Sacrifice after III.) I — Return each creature that isn't a Kraken, Leviathan, Merfolk, Octopus, or Serpent to its owner's hand. II, III — Until end of turn, whenever a Kraken, Leviathan, Merfolk, Octopus, or Serpent attacks, draw a card. Ward {2}"
Summon: Primal Garuda,Uncommon,W,{3}{W},Enchantment Creature — Saga Harpy,"(As this Saga enters and after your draw step, add a lore counter. Sacrifice after III.) I — Aerial Blast — This creature deals 4 damage to target tapped creature an opponent controls. II, III — Slipstream — Another target creature you control gets +1/+0 and gains flying until end of turn. Flying"
Summon: Primal Odin,Rare,B,{4}{B}{B},Enchantment Creature — Saga Knight,"(As this Saga enters and after your draw step, add a lore counter. Sacrifice after III.) I — Gungnir — Destroy target creature an opponent controls. II — Zantetsuken — This creature gains ""Whenever this creature deals combat damage to a player, that player loses the game."" III — Hall of Sorrow — Draw two cards. Each player loses 2 life."
Summon: Shiva,Uncommon,U,{3}{U}{U},Enchantment Creature — Saga Elemental,"(As this Saga enters and after your draw step, add a lore counter. Sacrifice after III.) I, II — Heavenly Strike — Tap target creature an opponent controls. Put a stun counter on it. (If a permanent with a stun counter would become untapped, remove one from it instead.) III — Diamond Dust — Draw a card for each tapped creature your opponents control."
Summon: Titan,Rare,G,{3}{G}{G},Enchantment Creature — Saga Giant,"(As this Saga enters and after your draw step, add a lore counter. Sacrifice after III.) I — Mill five cards. II — Return all land cards from your graveyard to the battlefield tapped. III — Until end of turn, another target creature you control gains trample and gets +X/+X, where X is the number of lands you control. Reach, trample"
Suplex,Common,R,{1}{R},Sorcery,"Choose one — • Suplex deals 3 damage to target creature. If that creature would die this turn, exile it instead. • Exile target artifact."
Swallowed by Leviathan,Uncommon,U,{2}{U},Instant,"Choose target spell. Surveil 2, then counter the chosen spell unless its controller pays {1} for each card in your graveyard. (To surveil 2, look at the top two cards of your library, then put any number of them into your graveyard and the rest on top of your library in any order.)"
Syncopate,Common,U,{X}{U},Instant,"Counter target spell unless its controller pays {X}. If that spell is countered this way, exile it instead of putting it into its owner's graveyard."
"Tellah, Great Sage",Rare,RU,{3}{U}{R},Legendary Creature — Human Wizard,"Whenever you cast a noncreature spell, create a 1/1 colorless Hero creature token. If four or more mana was spent to cast that spell, draw two cards. If eight or more mana was spent to cast that spell, sacrifice Tellah and it deals that much damage to each opponent."
"Terra, Magical Adept // Esper Terra",Mythic,BGRUW,{1}{R}{G} // ,Legendary Creature — Human Wizard Warrior // Legendary Enchantment Creature — Saga Wizard,"When Terra enters, mill five cards. Put up to one enchantment card milled this way into your hand. Trance — {4}{R}{G}, {T}: Exile Terra, then return it to the battlefield transformed under its owner's control. Activate only as a sorcery. // (As this Saga enters and after your draw step, add a lore counter.) I, II, III — Create a token that's a copy of target nonlegendary enchantment you control. It gains haste. If it's a Saga, put up to three lore counters on it. Sacrifice it at the beginning of your next end step. IV — Add {W}{W}, {U}{U}, {B}{B}, {R}{R}, and {G}{G}. Exile Esper Terra, then return it to the battlefield (front face up). Flying"
The Crystal's Chosen,Uncommon,W,{5}{W}{W},Sorcery,Create four 1/1 colorless Hero creature tokens. Then put a +1/+1 counter on each creature you control.
The Darkness Crystal,Rare,B,{2}{B}{B},Legendary Artifact,"Black spells you cast cost {1} less to cast. If a nontoken creature an opponent controls would die, instead exile it and you gain 2 life. {4}{B}{B}, {T}: Put target creature card exiled with The Darkness Crystal onto the battlefield tapped under your control with two additional +1/+1 counters on it."
The Earth Crystal,Rare,G,{2}{G}{G},Legendary Artifact,"Green spells you cast cost {1} less to cast. If one or more +1/+1 counters would be put on a creature you control, twice that many +1/+1 counters are put on that creature instead. {4}{G}{G}, {T}: Distribute two +1/+1 counters among one or two target creatures you control."
The Emperor of Palamecia // The Lord Master of Hell,Uncommon,RU,{U}{R} // ,Legendary Creature — Human Noble Wizard // Legendary Creature — Demon Noble Wizard,"{T}: Add {U} or {R}. Spend this mana only to cast a noncreature spell. Whenever you cast a noncreature spell, if at least four mana was spent to cast it, put a +1/+1 counter on The Emperor of Palamecia. Then if it has three or more +1/+1 counters on it, transform it. // Starfall — Whenever The Lord Master of Hell attacks, it deals X damage to each opponent, where X is the number of noncreature, nonland cards in your graveyard."
The Final Days,Uncommon,B,{2}{B}{B},Sorcery,"Create two tapped 2/2 black Horror creature tokens. If this spell was cast from a graveyard, instead create X of those tokens, where X is the number of creature cards in your graveyard. Flashback {4}{B}{B} (You may cast this card from your graveyard for its flashback cost. Then exile it.)"
The Fire Crystal,Rare,R,{2}{R}{R},Legendary Artifact,"Red spells you cast cost {1} less to cast. Creatures you control have haste. {4}{R}{R}, {T}: Create a token that's a copy of target creature you control. Sacrifice it at the beginning of the next end step."
The Gold Saucer,Uncommon,Colorless,,Land — Town,"{T}: Add {C}. {2}, {T}: Flip a coin. If you win the flip, create a Treasure token. {3}, {T}, Sacrifice two artifacts: Draw a card."
The Lunar Whale,Rare,U,{3}{U},Legendary Artifact — Vehicle,"Flying You may look at the top card of your library any time. As long as The Lunar Whale attacked this turn, you may play the top card of your library. Crew 1"
The Masamune,Rare,Colorless,{3},Legendary Artifact — Equipment,"As long as equipped creature is attacking, it has first strike and must be blocked if able. Equipped creature has ""If a creature dying causes a triggered ability of this creature or an emblem you own to trigger, that ability triggers an additional time."" Equip {2}"
The Prima Vista,Uncommon,U,{4}{U},Legendary Artifact — Vehicle,"Flying Whenever you cast a noncreature spell, if at least four mana was spent to cast it, The Prima Vista becomes an artifact creature until end of turn. Crew 2 (Tap any number of creatures you control with total power 2 or more: This Vehicle becomes an artifact creature until end of turn.)"
The Regalia,Rare,Colorless,{4},Legendary Artifact — Vehicle,"Haste Whenever The Regalia attacks, reveal cards from the top of your library until you reveal a land card. Put that card onto the battlefield tapped and the rest on the bottom of your library in a random order. Crew 1"
The Wandering Minstrel,Rare,BGRUW,{G}{U},Legendary Creature — Human Bard,"Lands you control enter untapped. The Minstrel's Ballad — At the beginning of combat on your turn, if you control five or more Towns, create a 2/2 Elemental creature token that's all colors. {3}{W}{U}{B}{R}{G}: Other creatures you control get +X/+X until end of turn, where X is the number of Towns you control."
The Water Crystal,Rare,U,{2}{U}{U},Legendary Artifact,"Blue spells you cast cost {1} less to cast. If an opponent would mill one or more cards, they mill that many cards plus four instead. {4}{U}{U}, {T}: Each opponent mills cards equal to the number of cards in your hand."
The Wind Crystal,Rare,W,{2}{W}{W},Legendary Artifact,"White spells you cast cost {1} less to cast. If you would gain life, you gain twice that much life instead. {4}{W}{W}, {T}: Creatures you control gain flying and lifelink until end of turn."
Thief's Knife,Uncommon,U,{2}{U},Artifact — Equipment,"Job select (When this Equipment enters, create a 1/1 colorless Hero creature token, then attach this to it.) Equipped creature gets +1/+1, has ""Whenever this creature deals combat damage to a player, draw a card,"" and is a Rogue in addition to its other types. Equip {4}"
Thunder Magic,Common,R,{R},Instant,Tiered (Choose one additional cost.) • Thunder — {0} — Thunder Magic deals 2 damage to target creature. • Thundara — {3} — Thunder Magic deals 4 damage to target creature. • Thundaga — {5}{R} — Thunder Magic deals 8 damage to target creature.
"Tidus, Blitzball Star",Uncommon,UW,{1}{W}{U},Legendary Creature — Human Warrior,"Whenever an artifact you control enters, put a +1/+1 counter on Tidus. Whenever Tidus attacks, tap target creature an opponent controls."
Tifa Lockhart,Rare,G,{1}{G},Legendary Creature — Human Monk,"Trample Landfall — Whenever a land you control enters, double Tifa Lockhart's power until end of turn."
Tifa's Limit Break,Uncommon,G,{G},Instant,Tiered (Choose one additional cost.) • Somersault — {0} — Target creature gets +2/+2 until end of turn. • Meteor Strikes — {2} — Double target creature's power and toughness until end of turn. • Final Heaven — {6}{G} — Triple target creature's power and toughness until end of turn.
Tonberry,Uncommon,B,{B},Creature — Salamander Horror,"This creature enters tapped with a stun counter on it. (If it would become untapped, remove a stun counter from it instead.) Chef's Knife — During your turn, this creature has first strike and deathtouch."
"Torgal, A Fine Hound",Uncommon,G,{1}{G},Legendary Creature — Wolf,"Whenever you cast your first Human creature spell each turn, that creature enters with an additional +1/+1 counter on it for each Dog and/or Wolf you control. {T}: Add one mana of any color."
Town Greeter,Common,G,{1}{G},Creature — Human Citizen,"When this creature enters, mill four cards. You may put a land card from among them into your hand. If you put a Town card into your hand this way, you gain 2 life. (To mill four cards, a player puts the top four cards of their library into their graveyard.)"
Traveling Chocobo,Mythic,G,{2}{G},Creature — Bird,"You may look at the top card of your library any time. You may play lands and cast Bird spells from the top of your library. If a land or Bird you control entering the battlefield causes a triggered ability of a permanent you control to trigger, that ability triggers an additional time."
Travel the Overworld,Uncommon,U,{5}{U}{U},Sorcery,Affinity for Towns (This spell costs {1} less to cast for each Town you control.) Draw four cards.
"Treno, Dark City",Common,BU,,Land — Town,This land enters tapped. {T}: Add {U} or {B}.
Triple Triad,Rare,R,{3}{R}{R}{R},Enchantment,"At the beginning of your upkeep, each player exiles the top card of their library. Until end of turn, you may play the card you own exiled this way and each other card exiled this way with lesser mana value than it without paying their mana costs."
Ultima,Rare,W,{3}{W}{W},Sorcery,"Destroy all artifacts and creatures. End the turn. (Exile all spells and abilities from the stack, including this card. The player whose turn it is discards down to their maximum hand size. Damage wears off, and ""this turn"" and ""until end of turn"" effects end.)"
"Ultima, Origin of Oblivion",Rare,Colorless,{5},Legendary Creature — God,"Flying Whenever Ultima attacks, put a blight counter on target land. For as long as that land has a blight counter on it, it loses all land types and abilities and has ""{T}: Add {C}."" Whenever you tap a land for {C}, add an additional {C}."
Ultima Weapon,Rare,Colorless,{7},Legendary Artifact — Equipment,"Whenever equipped creature attacks, destroy target creature an opponent controls. Equipped creature gets +7/+7. Equip {7}"
"Ultimecia, Temporal Threat",Rare,U,{4}{U}{U},Legendary Creature — Human Warlock,"When Ultimecia enters, tap all creatures your opponents control. Whenever a creature you control deals combat damage to a player, draw a card."
"Ultimecia, Time Sorceress // Ultimecia, Omnipotent",Uncommon,BU,{3}{U}{B} // ,Legendary Creature — Human Warlock // Legendary Creature — Nightmare Warlock,"Whenever Ultimecia enters or attacks, surveil 2. (Look at the top two cards of your library, then put any number of them into your graveyard and the rest on top of your library in any order.) At the beginning of your end step, you may pay {4}{U}{U}{B}{B} and exile eight cards from your graveyard. If you do, transform Ultimecia. // Menace (This creature can't be blocked except by two or more creatures.) Time Compression — When this creature transforms into Ultimecia, Omnipotent, take an extra turn after this one."
"Ultros, Obnoxious Octopus",Uncommon,U,{1}{U},Legendary Creature — Octopus,"Whenever you cast a noncreature spell, if at least four mana was spent to cast it, tap target creature an opponent controls and put a stun counter on it. (If a permanent with a stun counter would become untapped, remove one from it instead.) Whenever you cast a noncreature spell, if at least eight mana was spent to cast it, put eight +1/+1 counters on Ultros."
Undercity Dire Rat,Common,B,{1}{B},Creature — Rat,"Rat Tail — When this creature dies, create a Treasure token. (It's an artifact with ""{T}, Sacrifice this token: Add one mana of any color."")"
Unexpected Request,Uncommon,R,{2}{R},Sorcery,"Gain control of target creature until end of turn. Untap that creature. It gains haste until end of turn. You may attach an Equipment you control to that creature. If you do, unattach it at the beginning of the next end step."
"Vaan, Street Thief",Rare,R,{2}{R},Legendary Creature — Human Scout,"Whenever one or more Scouts, Pirates, and/or Rogues you control deal combat damage to a player, exile the top card of that player's library. You may cast it. If you don't, create a Treasure token. Whenever you cast a spell you don't own, put a +1/+1 counter on each Scout, Pirate, and Rogue you control."
Valkyrie Aerial Unit,Uncommon,U,{5}{U}{U},Artifact Creature — Construct,"Affinity for artifacts (This spell costs {1} less to cast for each artifact you control.) Flying When this creature enters, surveil 2. (Look at the top two cards of your library, then put any number of them into your graveyard and the rest on top of your library in any order.)"
"Vanille, Cheerful l'Cie",Uncommon,BG,{3}{G},Legendary Creature — Human Cleric,"When Vanille enters, mill two cards, then return a permanent card from your graveyard to your hand. At the beginning of your first main phase, if you both own and control Vanille and a creature named Fang, Fearless l'Cie, you may pay {3}{B}{G}. If you do, exile them, then meld them into Ragnarok, Divine Deliverance."
Vayne's Treachery,Common,B,{1}{B},Instant,"Kicker—Sacrifice an artifact or creature. (You may sacrifice an artifact or creature in addition to any other costs as you cast this spell.) Target creature gets -2/-2 until end of turn. If this spell was kicked, that creature gets -6/-6 until end of turn instead."
"Vector, Imperial Capital",Common,BR,,Land — Town,This land enters tapped. {T}: Add {B} or {R}.
"Venat, Heart of Hydaelyn // Hydaelyn, the Mothercrystal",Rare,W,{1}{W}{W} // ,Legendary Creature — Elder Wizard // Legendary Creature — God,"Whenever you cast a legendary spell, draw a card. This ability triggers only once each turn. Hero's Sundering — {7}, {T}: Exile target nonland permanent. Transform Venat. Activate only as a sorcery. // Indestructible Blessing of Light — At the beginning of combat on your turn, put a +1/+1 counter on another target creature you control. Until your next turn, it gains indestructible. If that creature is legendary, draw a card."
Vincent's Limit Break,Common,B,{1}{B},Instant,"Tiered (Choose one additional cost.) Until end of turn, target creature you control gains ""When this creature dies, return it to the battlefield tapped under its owner's control"" and has the chosen base power and toughness. • Galian Beast — {0} — 3/2. • Death Gigas — {1} — 5/2. • Hellmasker — {3} — 7/2."
Vincent Valentine // Galian Beast,Rare,B,{2}{B}{B} // ,Legendary Creature — Assassin // Legendary Creature — Werewolf Beast,"Whenever a creature an opponent controls dies, put a number of +1/+1 counters on Vincent Valentine equal to that creature's power. Whenever Vincent Valentine attacks, you may transform it. // Trample, lifelink When Galian Beast dies, return it to the battlefield tapped (front face up)."
Vivi Ornitier,Mythic,RU,{1}{U}{R},Legendary Creature — Wizard,"{0}: Add X mana in any combination of {U} and/or {R}, where X is Vivi Ornitier's power. Activate only during your turn and only once each turn. Whenever you cast a noncreature spell, put a +1/+1 counter on Vivi Ornitier and it deals 1 damage to each opponent."
Warrior's Sword,Common,R,{3}{R},Artifact — Equipment,"Job select (When this Equipment enters, create a 1/1 colorless Hero creature token, then attach this to it.) Equipped creature gets +3/+2 and is a Warrior in addition to its other types. Equip {5} ({5}: Attach to target creature you control. Equip only as a sorcery.)"
Wastes,Common,Colorless,,Basic Land,{T}: Add {C}.
Weapons Vendor,Common,W,{3}{W},Creature — Human Artificer,"When this creature enters, draw a card. At the beginning of combat on your turn, if you control an Equipment, you may pay {1}. When you do, attach target Equipment you control to target creature you control."
White Auracite,Common,W,{2}{W}{W},Artifact,"When this artifact enters, exile target nonland permanent an opponent controls until this artifact leaves the battlefield. {T}: Add {W}."
White Mage's Staff,Common,W,{1}{W},Artifact — Equipment,"Job select (When this Equipment enters, create a 1/1 colorless Hero creature token, then attach this to it.) Equipped creature gets +1/+1, has ""Whenever this creature attacks, you gain 1 life,"" and is a Cleric in addition to its other types. Equip {3} ({3}: Attach to target creature you control. Equip only as a sorcery.)"
"Windurst, Federation Center",Common,GW,,Land — Town,This land enters tapped. {T}: Add {G} or {W}.
World Map,Common,Colorless,{1},Artifact,"{1}, {T}, Sacrifice this artifact: Search your library for a basic land card, reveal it, put it into your hand, then shuffle. {3}, {T}, Sacrifice this artifact: Search your library for a land card, reveal it, put it into your hand, then shuffle."
"Xande, Dark Mage",Rare,BU,{2}{U}{B},Legendary Creature — Human Wizard,"Menace (This creature can't be blocked except by two or more creatures.) Xande gets +1/+1 for each noncreature, nonland card in your graveyard."
You're Not Alone,Common,W,{W},Instant,"Target creature gets +2/+2 until end of turn. If you control three or more creatures, it gets +4/+4 until end of turn instead."
Y'shtola Rhul,Mythic,U,{4}{U}{U},Legendary Creature — Cat Druid,"At the beginning of your end step, exile target creature you control, then return it to the battlefield under its owner's control. Then if it's the first end step of the turn, there is an additional end step after this step."
"Yuna, Hope of Spira",Mythic,GW,{3}{G}{W},Legendary Creature — Human Cleric,"During your turn, Yuna and enchantment creatures you control have trample, lifelink, and ward {2}. At the beginning of your end step, return up to one target enchantment card from your graveyard to the battlefield with a finality counter on it. (If a permanent with a finality counter on it would be put into a graveyard from the battlefield, exile it instead.)"
Zack Fair,Uncommon,W,{W},Legendary Creature — Human Soldier,"Zack Fair enters with a +1/+1 counter on it. {1}, Sacrifice Zack Fair: Target creature you control gains indestructible until end of turn. Put Zack Fair's counters on that creature and attach an Equipment that was attached to Zack Fair to that creature."
"Zanarkand, Ancient Metropolis // Lasting Fayth",Rare,G,{4}{G}{G},Land — Town // Sorcery — Adventure,This land enters tapped. {T}: Add {G}. // Create a 1/1 colorless Hero creature token. Put a +1/+1 counter on it for each land you control. (Then exile this card. You may play the land later from exile.)
Zell Dincht,Rare,R,{2}{R},Legendary Creature — Human Monk,"You may play an additional land on each of your turns. Zell Dincht gets +1/+0 for each land you control. At the beginning of your end step, return a land you control to its owner's hand."
"Zenos yae Galvus // Shinryu, Transcendent Rival",Rare,B,{3}{B}{B} // ,Legendary Creature — Human Noble Warrior // Legendary Creature — Dragon,"My First Friend — When Zenos yae Galvus enters, choose a creature an opponent controls. Until end of turn, creatures other than Zenos yae Galvus and the chosen creature get -2/-2. When the chosen creature leaves the battlefield, transform Zenos yae Galvus. // Flying As this creature transforms into Shinryu, choose an opponent. Burning Chains — When the chosen player loses the game, you win the game."
"Zidane, Tantalus Thief",Uncommon,RW,{3}{R}{W},Legendary Creature — Human Mutant Scout,"When Zidane enters, gain control of target creature an opponent controls until end of turn. Untap it. It gains lifelink and haste until end of turn. Whenever an opponent gains control of a permanent from you, you create a Treasure token."
"Zodiark, Umbral God",Rare,B,{B}{B}{B}{B}{B},Legendary Creature — God,"Indestructible When Zodiark enters, each player sacrifices half the non-God creatures they control of their choice, rounded down. Whenever a player sacrifices another creature, put a +1/+1 counter on Zodiark."
